,quarter,time,down,togo,location,away_team,home_team,detail
26,1,3:17,1,7,ARI 7,7,0,Joe Burrow pass incomplete short left intended for Ja'Marr Chase
27,1,3:10,2,7,ARI 7,7,0,Joe Burrow pass complete short left to Trenton Irwin for no gain. Trenton Irwin fumbles (forced by Jalen Thompson). Trenton Irwin fumbles out of bounds
28,1,2:41,3,7,ARI 7,7,0,Joe Burrow sacked by Kevin Strong for -15 yards
29,1,1:50,4,22,ARI 22,10,0,Evan McPherson 40 yard field goal good
30,1,1:46,0,0,CIN 35,10,0,"Evan McPherson kicks off 65 yards, touchback."
31,1,1:46,1,10,ARI 25,10,0,Joshua Dobbs pass complete short right to Trey McBride for 13 yards (tackle by Logan Wilson)
32,1,1:14,1,10,ARI 38,10,0,James Conner up the middle for 1 yard (tackle by Sam Hubbard)
33,1,0:34,2,9,ARI 39,10,0,Rondale Moore left tackle for 4 yards (tackle by Mike Hilton)
34,2,15:00,3,5,ARI 43,10,0,Joshua Dobbs pass complete short left to Marquise Brown for 18 yards (tackle by Nick Scott)
35,2,14:31,1,10,CIN 39,10,0,James Conner right tackle for 2 yards (tackle by Germaine Pratt and D.J. Reader)
36,2,13:50,2,8,CIN 37,10,0,Joshua Dobbs pass complete short right to Geoff Swaim for 11 yards (tackle by Logan Wilson)
37,2,13:16,1,10,CIN 26,10,0,James Conner left end for 1 yard (tackle by DJ Turner)
38,2,12:39,2,9,CIN 25,10,0,Joshua Dobbs pass incomplete short left
39,2,12:30,3,9,CIN 25,10,6,"Joshua Dobbs pass complete deep right to Marquise Brown for 25 yards, touchdown"
40,2,12:25,0,0,CIN 15,10,7,Matt Prater kicks extra point good
41,2,12:25,0,0,ARI 35,10,7,"Matt Prater kicks off 65 yards, touchback."
42,2,12:25,1,10,CIN 25,10,7,Joe Burrow pass incomplete short left
43,2,12:18,2,10,CIN 25,10,7,Joe Mixon up the middle for 4 yards (tackle by Dante Stills and Josh Woods)
44,2,11:27,3,6,CIN 29,10,7,Joe Burrow sacked by Dante Stills for -8 yards
45,2,10:44,4,14,CIN 21,10,7,"Brad Robbins punts 59 yards, returned by Greg Dortch for 16 yards (tackle by Devin Harper). Penalty on Devin Harper: Unnecessary Roughness / Defense, 15 yards (accepted) "
46,2,10:41,1,10,CIN 49,10,7,Joshua Dobbs pass incomplete deep right intended for Marquise Brown
47,2,10:36,2,10,CIN 49,10,7,James Conner up the middle for 35 yards (tackle by DJ Turner and Germaine Pratt)
48,2,9:50,1,10,CIN 14,10,7,Joshua Dobbs pass complete short middle to Geoff Swaim for 11 yards (tackle by Nick Scott)
49,2,9:10,1,3,CIN 3,10,7,Emari Demercado up the middle for -1 yards (tackle by Germaine Pratt)
50,2,8:31,2,4,CIN 4,10,13,"Joshua Dobbs pass complete short left to Zach Ertz for 4 yards, touchdown"
51,2,8:28,0,0,CIN 15,10,14,Matt Prater kicks extra point good
52,2,8:28,0,0,ARI 35,10,14,"Matt Prater kicks off 65 yards, touchback."
53,2,8:28,1,10,CIN 25,10,14,Joe Mixon up the middle for 3 yards (tackle by Cameron Thomas and Kevin Strong)
54,2,7:50,2,7,CIN 28,10,14,Joe Burrow pass incomplete short middle intended for Ja'Marr Chase
55,2,7:41,3,7,CIN 28,10,14,Joe Burrow pass incomplete deep right intended for Andrei Iosivas
56,2,7:36,4,7,CIN 28,10,14,"Brad Robbins punts 48 yards, returned by Greg Dortch for 6 yards (tackle by Tycen Anderson)"
57,2,7:25,1,10,ARI 30,10,14,Joshua Dobbs pass incomplete deep left intended for Trey McBride
58,2,7:19,2,10,ARI 30,10,14,Joshua Dobbs pass incomplete short left intended for Emari Demercado (defended by Trey Hendrickson)
59,2,7:15,3,10,ARI 30,10,14,Joshua Dobbs pass incomplete short right intended for Rondale Moore (defended by Jordan Battle)
60,2,7:12,4,10,ARI 30,10,14,"Blake Gillikin punts 62 yards, returned by Trenton Irwin for 21 yards (tackle by Joey Blount and Zeke Turner)"
61,2,7:00,1,10,CIN 29,10,14,Joe Burrow pass complete short right to Trenton Irwin for 11 yards (tackle by Kyzir White)
62,2,6:37,1,10,CIN 40,10,14,Joe Mixon up the middle for 10 yards (tackle by K'Von Wallace and BJ Ojulari)
63,2,6:01,1,10,ARI 50,10,14,Joe Burrow pass complete short right to Ja'Marr Chase for 7 yards (tackle by Marco Wilson)
64,2,5:20,2,3,ARI 43,10,14,Joe Burrow pass complete short left to Ja'Marr Chase for 6 yards (tackle by Marco Wilson)
65,2,4:42,1,10,ARI 37,10,14,Joe Burrow pass complete short middle to Joe Mixon for 3 yards (tackle by Andre Chachere)
66,2,4:06,2,7,ARI 34,10,14,Joe Burrow pass complete short right to Joe Mixon for -1 yards (tackle by Jalen Thompson)
67,2,3:19,3,8,ARI 35,10,14,Joe Burrow pass complete short middle to Tyler Boyd for 14 yards (tackle by Jalen Thompson)
68,2,2:36,1,10,ARI 21,10,14,Joe Mixon right tackle for 5 yards (tackle by Antonio Hamilton and Kyzir White)
69,2,2:00,2,5,ARI 16,10,14,Joe Mixon up the middle for 6 yards (tackle by Marco Wilson)
70,2,1:52,1,10,ARI 10,10,14,Joe Mixon up the middle for 6 yards (tackle by Antonio Hamilton)
71,2,1:48,2,4,ARI 4,10,14,Joe Mixon up the middle for 3 yards (tackle by Leki Fotu and K'Von Wallace)
72,2,1:43,3,1,ARI 1,10,14,Joe Mixon up the middle for no gain (tackle by Antonio Hamilton)
73,2,1:37,4,1,ARI 1,10,14,"Joe Mixon up the middle for no gain (tackle by K'Von Wallace and Victor Dimukeje) Replay Assistant challenged the runner broke the plane ruling, and the play was upheld."
74,2,1:33,1,10,ARI 1,10,14,Joshua Dobbs up the middle for no gain (tackle by Trey Hendrickson and Germaine Pratt)
75,2,1:30,2,10,ARI 1,16,14,"Joshua Dobbs pass short right intended for Zach Pascal is intercepted by Cam Taylor-Britt at ARI-11 and returned for 11 yards, touchdown"
76,2,1:23,0,0,ARI 15,17,14,Evan McPherson kicks extra point good
77,2,1:23,0,0,CIN 35,17,14,"Evan McPherson kicks off 65 yards, touchback."
78,2,1:23,1,10,ARI 25,17,14,Joshua Dobbs pass incomplete deep right intended for Marquise Brown
79,2,1:19,2,10,ARI 25,17,14,Emari Demercado up the middle for 6 yards (tackle by Germaine Pratt and Logan Wilson)
80,2,1:14,3,4,ARI 31,17,14,Joshua Dobbs pass incomplete short middle intended for Marquise Brown (defended by Logan Wilson)
81,2,1:09,4,4,ARI 31,17,14,"Blake Gillikin punts 54 yards, returned by Trenton Irwin for 11 yards (tackle by Victor Dimukeje and Greg Dortch)"
82,2,1:00,1,10,CIN 26,17,14,Joe Burrow pass complete short left to Ja'Marr Chase for 13 yards (tackle by Marco Wilson)
83,2,0:56,1,10,CIN 39,17,14,Joe Burrow pass incomplete short right intended for Tyler Boyd
84,2,0:51,2,10,CIN 39,17,14,Joe Burrow pass complete short middle to Tyler Boyd for 5 yards (tackle by Josh Woods)
85,2,0:45,3,5,CIN 44,17,14,Joe Burrow sacked by Zaven Collins for -7 yards
86,2,0:01,4,12,CIN 37,17,14,"Penalty on CIN: Delay of Game, 5 yards (accepted) (no play)"
87,2,0:01,4,17,CIN 32,17,14,Joe Burrow kneels for -1 yards
88,3,15:00,0,0,ARI 35,17,14,"Matt Prater kicks off 65 yards, touchback."
89,3,15:00,1,10,CIN 25,17,14,Joe Burrow pass complete short right to Tyler Boyd for 6 yards (tackle by Kei'Trel Clark and Kyzir White)
90,3,14:26,2,4,CIN 31,17,14,Joe Mixon up the middle for 6 yards (tackle by Kevin Strong)
91,3,13:47,1,10,CIN 37,23,14,"Joe Burrow pass complete deep right to Ja'Marr Chase for 63 yards, touchdown"
92,3,13:39,0,0,ARI 15,24,14,Evan McPherson kicks extra point good
93,3,13:39,0,0,CIN 35,24,14,"Evan McPherson kicks off 65 yards, touchback."
94,3,13:39,1,10,ARI 25,24,14,Emari Demercado up the middle for 5 yards (tackle by D.J. Reader and Logan Wilson)
95,3,13:06,2,5,ARI 30,24,14,Joshua Dobbs pass complete short left to Trey McBride for 4 yards (tackle by Logan Wilson and Germaine Pratt)
96,3,12:36,3,1,ARI 34,24,14,Joshua Dobbs up the middle for 2 yards (tackle by D.J. Reader)
97,3,11:53,1,10,ARI 36,24,14,Rondale Moore left end for 5 yards (tackle by Germaine Pratt and DJ Turner)
98,3,11:24,2,5,ARI 41,24,14,Emari Demercado up the middle for 1 yard (tackle by Daxton Hill)
99,3,10:45,3,4,ARI 42,24,14,Joshua Dobbs pass complete short right to Rondale Moore for 19 yards (tackle by Jordan Battle)
100,3,10:22,1,10,CIN 39,24,14,Emari Demercado left tackle for 1 yard (tackle by Mike Hilton)
101,3,9:39,2,9,CIN 38,24,14,Joshua Dobbs pass complete short right to Marquise Brown for 10 yards (tackle by Jordan Battle)
102,3,8:56,1,10,CIN 28,24,14,Emari Demercado up the middle for 8 yards (tackle by Logan Wilson)
103,3,8:18,2,2,CIN 20,24,14,Emari Demercado right tackle for 9 yards (tackle by Joseph Ossai)
104,3,7:39,1,10,CIN 11,24,20,"Emari Demercado left end for 11 yards, touchdown"
105,3,7:33,0,0,CIN 15,24,20,Matt Prater kicks extra point no good
106,3,7:33,0,0,ARI 35,24,20,"Matt Prater kicks off 65 yards, touchback."
107,3,7:33,1,10,CIN 25,24,20,Joe Burrow pass complete short left to Chase Brown for 2 yards (tackle by Dennis Gardeck)
108,3,6:52,2,8,CIN 27,24,20,Joe Burrow pass complete short right to Ja'Marr Chase for 9 yards (tackle by Marco Wilson)
109,3,6:18,1,10,CIN 36,24,20,Joe Mixon up the middle for 3 yards (tackle by Kyzir White)
110,3,5:48,2,7,CIN 39,24,20,Joe Mixon up the middle for 5 yards (tackle by Marco Wilson and Antonio Hamilton)
111,3,5:07,3,2,CIN 44,24,20,Joe Burrow pass complete short right to Ja'Marr Chase for 8 yards (tackle by Andre Chachere)
112,3,4:36,1,10,ARI 48,24,20,Joe Burrow pass complete short left to Trenton Irwin for 3 yards (tackle by Dennis Gardeck and Kyzir White)
113,3,3:56,2,7,ARI 45,24,20,Joe Burrow pass incomplete short right intended for Ja'Marr Chase
114,3,3:51,3,7,ARI 45,24,20,Joe Burrow pass short left intended for Trenton Irwin is intercepted by K'Von Wallace at ARI-32 and returned for 2 yards (tackle by Trenton Irwin)
115,3,3:46,1,10,ARI 34,24,20,Rondale Moore left end for 41 yards (tackle by Logan Wilson)
116,3,3:10,1,10,CIN 25,24,20,Emari Demercado left tackle for 3 yards (tackle by Sam Hubbard)
117,3,2:35,2,7,CIN 22,24,20,Joshua Dobbs pass incomplete deep right intended for Emari Demercado (defended by DJ Turner)
118,3,2:28,3,7,CIN 22,24,20,Joshua Dobbs pass complete short right to Rondale Moore for 6 yards (tackle by Mike Hilton)
119,3,1:50,4,1,CIN 16,24,20,Joshua Dobbs right end for -1 yards (tackle by Germaine Pratt)
120,3,1:43,1,10,CIN 17,24,20,Joe Mixon right tackle for 7 yards (tackle by Leki Fotu)
121,3,1:08,2,3,CIN 24,24,20,Joe Mixon up the middle for 4 yards (tackle by K'Von Wallace and Joey Blount)
122,3,0:22,1,10,CIN 28,24,20,Joe Burrow scrambles up the middle for 10 yards (tackle by BJ Ojulari)
123,4,15:00,1,10,CIN 38,24,20,Joe Burrow scrambles up the middle for 4 yards (tackle by Victor Dimukeje)
124,4,14:25,2,6,CIN 42,24,20,Joe Mixon up the middle for 3 yards (tackle by Kevin Strong)
125,4,13:43,3,3,CIN 45,24,20,Joe Burrow pass complete short right to Ja'Marr Chase for 5 yards (tackle by Marco Wilson)
126,4,13:07,1,10,ARI 50,24,20,Joe Burrow pass incomplete deep middle intended for Trenton Irwin
127,4,12:57,2,10,ARI 50,24,20,Joe Burrow pass complete short left to Andrei Iosivas for 9 yards
128,4,12:31,3,1,ARI 41,24,20,Trayveon Williams up the middle for 5 yards (tackle by Andre Chachere and Dante Stills)
129,4,11:49,1,10,ARI 36,24,20,Joe Burrow pass complete short right to Tyler Boyd for 5 yards (tackle by Antonio Hamilton and Marco Wilson)
130,4,11:08,2,5,ARI 31,24,20,Joe Burrow pass complete short left to Trenton Irwin for 8 yards (tackle by Kei'Trel Clark)
131,4,10:16,1,10,ARI 23,24,20,"Joe Mixon up the middle for no gain (tackle by Ben Stille). Penalty on Orlando Brown: Offensive Holding, 10 yards (accepted) (no play)"
132,4,9:53,1,20,ARI 33,24,20,Joe Burrow pass complete short left to Trenton Irwin for 7 yards (tackle by Kei'Trel Clark)
133,4,9:23,2,13,ARI 26,24,20,Joe Burrow pass complete short left to Ja'Marr Chase for 14 yards (tackle by K'Von Wallace)
134,4,8:39,1,10,ARI 12,24,20,"Joe Burrow pass incomplete short right intended for Irv Smith. Penalty on Kyzir White: Defensive Pass Interference, 11 yards (accepted) (no play)"
135,4,8:33,1,1,ARI 1,24,20,Joe Mixon up the middle for -2 yards (tackle by K'Von Wallace)
136,4,7:54,2,3,ARI 3,30,20,"Joe Burrow pass complete short right to Ja'Marr Chase for 3 yards, touchdown"
137,4,7:48,0,0,ARI 15,31,20,Evan McPherson kicks extra point good
138,4,7:48,0,0,CIN 35,31,20,"Evan McPherson kicks off 65 yards, touchback."
139,4,7:48,1,10,ARI 25,31,20,"Joshua Dobbs sacked by Trey Hendrickson for no gain. Joshua Dobbs fumbles (forced by Trey Hendrickson), recovered by Sam Hubbard at ARI-28"
140,4,7:41,1,10,ARI 28,31,20,Joe Burrow pass complete short right to Ja'Marr Chase for 11 yards (tackle by Dante Stills)
141,4,6:58,1,10,ARI 17,31,20,"Joe Burrow pass complete short left to Tyler Boyd for no gain, touchdown. Penalty on Alex Cappa: Illegal Use of Hands / Offense, 10 yards (accepted) (no play)"
142,4,6:50,1,20,ARI 27,31,20,Joe Mixon left tackle for 7 yards (tackle by Kevin Strong)
143,4,6:45,2,13,ARI 20,31,20,Joe Burrow pass incomplete deep left intended for Ja'Marr Chase
144,4,6:41,3,13,ARI 20,31,20,Joe Burrow pass complete short right to Tyler Boyd for -2 yards (tackle by Kyzir White)
145,4,6:36,4,15,ARI 22,34,20,Evan McPherson 40 yard field goal good
146,4,6:33,0,0,CIN 35,34,20,"Evan McPherson kicks off 65 yards, touchback."
147,4,6:33,1,10,ARI 25,34,20,Joshua Dobbs sacked by Trey Hendrickson for -6 yards
148,4,6:06,2,16,ARI 19,34,20,Joshua Dobbs pass complete short left to Zach Ertz for 6 yards (tackle by Mike Hilton)
149,4,5:27,3,10,ARI 25,34,20,Joshua Dobbs pass complete short right to Marquise Brown for 8 yards (tackle by Germaine Pratt)
150,4,5:01,4,2,ARI 33,34,20,Joshua Dobbs pass short right intended for Zach Ertz is intercepted by Germaine Pratt at ARI-48 and returned for no gain
151,4,4:56,1,10,ARI 48,34,20,Joe Mixon right tackle for -2 yards (tackle by Roy Lopez and Andre Chachere)
152,4,4:52,2,12,ARI 50,34,20,Joe Burrow pass complete short left to Tyler Boyd for 11 yards (tackle by Marco Wilson)
153,4,4:07,3,1,ARI 39,34,20,Joe Burrow left end for -6 yards (tackle by Victor Dimukeje)
154,4,3:22,4,7,ARI 45,34,20,"Brad Robbins punts 38 yards, fair catch by Greg Dortch at ARI-7"
155,4,3:16,1,10,ARI 7,34,20,Joshua Dobbs pass incomplete short middle intended for Rondale Moore
156,4,3:14,2,10,ARI 7,34,20,Joshua Dobbs pass complete deep right to Michael Wilson for 18 yards (tackle by Cam Taylor-Britt)
157,4,2:52,1,10,ARI 25,34,20,Joshua Dobbs pass complete short middle to Emari Demercado for 12 yards (tackle by Nick Scott and Logan Wilson)
158,4,2:33,1,10,ARI 37,34,20,Joshua Dobbs pass incomplete deep right
159,4,2:25,2,10,ARI 37,34,20,Joshua Dobbs pass incomplete short right intended for Zach Ertz (defended by Cam Taylor-Britt)
160,4,2:21,3,10,ARI 37,34,20,Joshua Dobbs pass incomplete short left intended for Michael Wilson
161,4,2:10,4,10,ARI 37,34,20,"Joshua Dobbs pass incomplete deep left intended for Marquise Brown. Penalty on Trystan Colon-Castillo: Offensive Holding, 10 yards (declined) "
162,4,2:10,1,10,ARI 37,34,20,Joe Mixon up the middle for 2 yards (tackle by Dante Stills and Josh Woods)
163,4,2:00,2,8,ARI 35,34,20,Joe Mixon left tackle for 1 yard (tackle by Kyzir White and Marco Wilson)
164,4,1:13,3,7,ARI 34,34,20,Joe Burrow pass complete short right to Kwamie Lassiter for 2 yards (tackle by Antonio Hamilton)
165,4,0:23,4,5,ARI 32,34,20,Joe Burrow pass incomplete short middle
166,4,0:20,1,10,ARI 33,34,20,Emari Demercado up the middle for 2 yards (tackle by Myles Murphy)
