,quarter,time,down,togo,location,away_team,home_team,detail
26,1,4:58,3,4,CAR 4,0,13,"Jared Goff pass complete short left to Sam LaPorta for 4 yards, touchdown"
27,1,4:53,0,0,CAR 15,0,14,Riley Patterson kicks extra point good
28,1,4:53,0,0,DET 35,0,14,"Jack Fox kicks off 65 yards, touchback."
29,1,4:53,1,10,CAR 25,0,14,Chuba Hubbard right tackle for 1 yard (tackle by Kerby Joseph and Derrick Barnes)
30,1,4:25,2,9,CAR 26,0,14,Bryce Young pass complete short left to Adam Thielen for 5 yards (tackle by Will Harris)
31,1,3:56,3,4,CAR 31,0,14,Bryce Young pass complete short left to Adam Thielen for 8 yards (tackle by Derrick Barnes)
32,1,3:30,1,10,CAR 39,0,14,Bryce Young pass complete short right to Adam Thielen for 6 yards (tackle by Will Harris)
33,1,2:56,2,4,CAR 45,0,14,Miles Sanders up the middle for 9 yards (tackle by Alex Anzalone)
34,1,2:25,1,10,DET 46,0,14,Bryce Young pass complete short right to Jonathan Mingo for 13 yards (tackle by Cameron Sutton)
35,1,1:56,1,10,DET 33,0,14,Miles Sanders up the middle for 4 yards (tackle by Cameron Sutton and Tracy Walker)
36,1,1:26,2,6,DET 29,0,14,Bryce Young pass complete short middle to Hayden Hurst for no gain (tackle by Alex Anzalone) (no play)
37,1,0:53,2,11,DET 34,0,14,"Bryce Young pass complete short right to Tommy Tremble for no gain (tackle by Tracy Walker). Penalty on Jack Campbell: Illegal Contact, 5 yards (accepted) (no play)"
38,1,0:26,1,10,DET 29,0,14,Bryce Young pass incomplete short right
39,1,0:18,2,10,DET 29,0,14,Bryce Young pass complete short left to Adam Thielen for 9 yards (tackle by Kerby Joseph)
40,2,15:00,3,1,DET 20,0,14,Andy Dalton up the middle for 1 yard (tackle by John Cominsky and Benito Jones)
41,2,14:17,1,10,DET 19,0,14,Laviska Shenault right tackle for 11 yards (tackle by Kerby Joseph)
42,2,13:35,1,8,DET 8,0,14,Bryce Young pass incomplete short left intended for Jonathan Mingo (defended by Will Harris)
43,2,13:31,2,8,DET 8,0,14,Laviska Shenault left end for 7 yards (tackle by Will Harris and Alex Anzalone)
44,2,12:52,3,1,DET 1,6,14,"Bryce Young pass complete short middle to Tommy Tremble for 1 yard, touchdown"
45,2,12:48,0,0,DET 15,7,14,Eddy Pineiro kicks extra point good
46,2,12:48,0,0,CAR 35,7,14,"Eddy Pineiro kicks off 68 yards, returned by Zonovan Knight for 22 yards (tackle by Dicaprio Bootle)"
47,2,12:43,1,10,DET 19,7,14,Jared Goff pass complete short middle to Brock Wright for 5 yards (tackle by Frankie Luvu)
48,2,12:09,2,5,DET 24,7,14,David Montgomery up the middle for 6 yards (tackle by Brian Burns and Vonn Bell)
49,2,11:32,1,10,DET 30,7,14,Jared Goff pass incomplete short left intended for Josh Reynolds
50,2,11:28,2,10,DET 30,7,14,"Jared Goff pass complete deep right to Josh Reynolds for 27 yards (tackle by Sam Franklin and D'Shawn Jamison). Penalty on Yetur Gross-Matos: Defensive Offside, 5 yards (declined) "
51,2,11:03,1,10,CAR 43,7,14,Jared Goff pass incomplete short left intended for Jameson Williams
52,2,10:58,2,10,CAR 43,7,14,Jared Goff pass complete short left to Marvin Jones for 6 yards (tackle by Frankie Luvu and Troy Hill)
53,2,10:18,3,4,CAR 37,7,14,Jared Goff pass incomplete deep right intended for Sam LaPorta
54,2,10:12,4,4,CAR 37,7,14,Jared Goff pass incomplete short right intended for David Montgomery
55,2,10:07,1,10,CAR 37,7,14,"Miles Sanders left end for 1 yard. Miles Sanders fumbles (forced by Alim McNeill), recovered by Will Harris at CAR-41 and returned for 3 yards (tackle by Tommy Tremble)"
56,2,9:58,1,10,CAR 38,7,14,Jared Goff pass complete short left to David Montgomery for 9 yards (tackle by Shy Tuttle)
57,2,9:21,2,1,CAR 29,7,14,Jared Goff pass complete short right to Jameson Williams for -2 yards (tackle by C.J. Henderson)
58,2,8:41,3,3,CAR 31,7,14,David Montgomery left tackle for 2 yards (tackle by Kamu Grugier-Hill)
59,2,7:57,4,1,CAR 29,7,14,David Montgomery left end for 3 yards (tackle by Sam Franklin)
60,2,7:21,1,10,CAR 26,7,14,David Montgomery right tackle for 2 yards (tackle by LaBryan Ray and Derrick Brown)
61,2,6:38,2,8,CAR 24,7,14,David Montgomery right tackle for 2 yards (tackle by Yetur Gross-Matos and Shy Tuttle)
62,2,5:57,3,6,CAR 22,7,14,Jared Goff pass complete short left to David Montgomery for 11 yards (tackle by Sam Franklin and Troy Hill)
63,2,5:19,1,10,CAR 11,7,14,Jared Goff pass complete short right to Kalif Raymond for 10 yards (tackle by Sam Franklin)
64,2,4:37,1,1,CAR 1,7,14,David Montgomery left end for no gain (tackle by Sam Franklin and DeShawn Williams)
65,2,3:55,2,1,CAR 1,7,20,"Jared Goff pass complete short middle to Josh Reynolds for 1 yard, touchdown"
66,2,3:50,0,0,CAR 15,7,21,Riley Patterson kicks extra point good
67,2,3:50,0,0,DET 35,7,21,"Jack Fox kicks off 67 yards, returned by Laviska Shenault for 25 yards. Laviska Shenault fumbles (forced by Malcolm Rodriguez), recovered by Laviska Shenault at CAR-23 (tackle by Malcolm Rodriguez and Darrell Daniels)"
68,2,3:43,1,10,CAR 23,7,21,Bryce Young pass deep left intended for Jonathan Mingo is intercepted by Jerry Jacobs at CAR-42 and returned for 11 yards (tackle by Cade Mays)
69,2,3:29,1,10,CAR 31,7,27,"Jared Goff pass complete short right to Sam LaPorta for 31 yards, touchdown"
70,2,3:21,0,0,CAR 15,7,28,Riley Patterson kicks extra point good
71,2,3:21,0,0,DET 35,7,28,"Jack Fox kicks off 63 yards, returned by Laviska Shenault for 30 yards (tackle by Jalen Reeves-Maybin)"
72,2,3:15,1,10,CAR 32,7,28,Bryce Young pass complete short middle to Hayden Hurst for 9 yards (tackle by Will Harris and Derrick Barnes)
73,2,2:35,2,1,CAR 41,7,28,Chuba Hubbard up the middle for 5 yards (tackle by Derrick Barnes and Alex Anzalone)
74,2,2:11,1,10,CAR 46,7,28,Bryce Young pass complete short middle to Adam Thielen for 30 yards (tackle by Will Harris)
75,2,2:00,1,10,DET 24,7,28,Bryce Young pass complete short right to Hayden Hurst for 4 yards (tackle by Alex Anzalone)
76,2,1:17,2,6,DET 20,7,28,Laviska Shenault left end for no gain (tackle by Alim McNeill)
77,2,0:32,3,6,DET 20,7,28,"Bryce Young pass incomplete deep left intended for Tommy Tremble. Penalty on Jerry Jacobs: Defensive Holding, 5 yards (accepted) (no play)"
78,2,0:26,1,10,DET 15,7,28,Bryce Young pass incomplete short left intended for Adam Thielen
79,2,0:21,2,10,DET 15,7,28,Bryce Young pass incomplete short middle intended for Adam Thielen
80,2,0:17,3,10,DET 15,7,28,Bryce Young pass incomplete short right intended for DJ Chark
81,2,0:10,4,10,DET 15,10,28,Eddy Pineiro 33 yard field goal good
82,2,0:06,0,0,CAR 35,10,28,"Eddy Pineiro kicks off 65 yards, touchback."
83,2,0:06,1,10,DET 25,10,28,Jared Goff kneels for -1 yards
84,3,15:00,0,0,CAR 35,10,28,"Eddy Pineiro kicks off 65 yards, touchback."
85,3,15:00,1,10,DET 25,10,28,Jared Goff pass incomplete short right intended for David Montgomery
86,3,14:56,2,10,DET 25,10,28,David Montgomery left end for 2 yards (tackle by Yetur Gross-Matos and Shy Tuttle)
87,3,14:15,3,8,DET 27,10,28,Jared Goff pass complete short middle to Sam LaPorta for 12 yards (tackle by Jeremy Chinn)
88,3,13:40,1,10,DET 39,10,28,Jared Goff pass complete short middle to Brock Wright for 9 yards (tackle by Frankie Luvu and Chandler Wooten)
89,3,13:02,2,1,DET 48,10,28,David Montgomery left tackle for 6 yards (tackle by Brian Burns and Chandler Wooten)
90,3,12:30,1,10,CAR 46,10,28,Jared Goff pass incomplete short middle intended for David Montgomery
91,3,12:19,2,10,CAR 46,10,28,David Montgomery left tackle for 8 yards (tackle by D'Shawn Jamison)
92,3,11:38,3,2,CAR 38,10,28,David Montgomery up the middle for 1 yard (tackle by C.J. Henderson and Frankie Luvu)
93,3,10:56,4,1,CAR 37,10,28,"Penalty on Nick Thurman: Defensive Offside, 5 yards (accepted) (no play)"
94,3,10:48,1,10,CAR 32,10,28,David Montgomery left tackle for 4 yards (tackle by Derrick Brown and Jeremy Chinn)
95,3,10:08,2,6,CAR 28,10,28,David Montgomery left end for no gain (tackle by Derrick Brown and Vonn Bell)
96,3,9:30,3,6,CAR 28,10,28,Jared Goff sacked by Brian Burns for -10 yards
97,3,8:44,4,16,CAR 38,10,28,"Penalty on Scott Daly: False Start, 5 yards (accepted) (no play)"
98,3,8:33,4,21,CAR 43,10,28,"Jack Fox punts 33 yards, fair catch by Ihmir Smith-Marsette at CAR-10"
99,3,8:27,1,10,CAR 10,10,28,Bryce Young pass complete short middle to Adam Thielen for 12 yards (tackle by Alex Anzalone and Cameron Sutton)
100,3,8:01,1,10,CAR 22,10,28,Laviska Shenault left end for 11 yards (tackle by Kerby Joseph)
101,3,7:35,1,10,CAR 33,10,28,"Laviska Shenault right tackle for no gain (tackle by Alim McNeill). Penalty on Bradley Bozeman: Offensive Holding, 10 yards (accepted) (no play)"
102,3,7:13,1,20,CAR 23,10,28,Bryce Young pass complete short left to Hayden Hurst for 8 yards (tackle by Alex Anzalone)
103,3,6:50,2,12,CAR 31,10,28,Bryce Young pass incomplete deep left intended for DJ Chark
104,3,6:43,3,12,CAR 31,10,28,"Bryce Young sacked by Aidan Hutchinson for -4 yards. Penalty on Ikem Ekwonu: Offensive Holding, 10 yards (declined) "
105,3,6:25,4,16,CAR 27,10,28,Johnny Hekker punts 45 yards downed by Jeremy Chinn
106,3,6:15,1,10,DET 28,10,28,Jared Goff pass incomplete short right intended for David Montgomery
107,3,6:11,2,10,DET 28,10,28,Jared Goff pass incomplete short middle
108,3,6:08,3,10,DET 28,10,28,Jared Goff pass complete short right to Jameson Williams for 4 yards (tackle by Troy Hill)
109,3,5:36,4,6,DET 32,10,28,"Jack Fox punts 55 yards, returned by Ihmir Smith-Marsette for 3 yards (tackle by Anthony Pittman)"
110,3,5:21,1,10,CAR 16,10,28,"Penalty on Hayden Hurst: False Start, 5 yards (accepted) (no play)"
111,3,5:21,1,15,CAR 11,10,28,"Bryce Young pass incomplete short right. Penalty on Bryce Young: Intentional Grounding, 10 yards (accepted) "
112,3,5:19,2,25,CAR 1,10,28,Bryce Young pass complete short right to Jonathan Mingo for 6 yards (tackle by Cameron Sutton)
113,3,4:40,3,19,CAR 7,10,28,Bryce Young pass incomplete short right intended for Miles Sanders
114,3,4:38,4,19,CAR 7,10,28,"Johnny Hekker punts 44 yards, fair catch by Kalif Raymond at DET-49"
115,3,4:31,1,10,DET 49,10,28,Jared Goff pass complete short left to Josh Reynolds for 21 yards (tackle by Vonn Bell)
116,3,3:49,1,10,CAR 30,10,28,Jared Goff pass complete short left to Zonovan Knight for 8 yards (tackle by Vonn Bell and Chandler Wooten)
117,3,3:20,2,2,CAR 22,10,28,David Montgomery left end for 4 yards (tackle by Frankie Luvu and Vonn Bell)
118,3,2:43,1,10,CAR 18,10,28,Jared Goff sacked by C.J. Henderson for -8 yards
119,3,2:03,2,18,CAR 26,10,28,Jared Goff pass complete short left to Kalif Raymond for 12 yards (tackle by Kamu Grugier-Hill)
120,3,1:19,3,6,CAR 14,10,28,David Montgomery up the middle for 10 yards (tackle by Frankie Luvu and C.J. Henderson)
121,3,0:34,1,4,CAR 4,10,28,David Montgomery right tackle for 3 yards (tackle by Derrick Brown)
122,4,15:00,2,1,CAR 1,10,34,"Jared Goff up the middle for 1 yard, touchdown"
123,4,14:58,0,0,CAR 15,10,35,Riley Patterson kicks extra point good
124,4,14:58,0,0,DET 35,10,35,"Jack Fox kicks off 65 yards, touchback."
125,4,14:58,1,10,CAR 25,10,35,Chuba Hubbard up the middle for 5 yards (tackle by Alex Anzalone)
126,4,14:25,2,5,CAR 30,10,35,Bryce Young pass complete short right to Jonathan Mingo for 11 yards (tackle by Alex Anzalone)
127,4,13:58,1,10,CAR 41,10,35,Chuba Hubbard up the middle for 4 yards (tackle by Tracy Walker)
128,4,13:27,2,6,CAR 45,10,35,"Bryce Young pass complete short middle to DJ Chark for 6 yards (tackle by Jerry Jacobs). Penalty on Tracy Walker: Illegal Contact, 5 yards (declined) "
129,4,13:05,1,10,DET 49,10,35,Chuba Hubbard up the middle for 6 yards (tackle by Alex Anzalone and Derrick Barnes)
130,4,12:42,2,4,DET 43,10,35,Bryce Young pass complete short left to Jonathan Mingo for 10 yards (tackle by Jerry Jacobs)
131,4,12:02,1,10,DET 33,10,35,"Bryce Young pass incomplete short middle intended for Miles Sanders. Penalty on Charles Harris: Roughing the Passer, 15 yards (accepted) (no play)"
132,4,11:57,1,10,DET 18,16,35,"Bryce Young pass complete deep middle to DJ Chark for 18 yards, touchdown"
133,4,11:52,0,0,DET 15,17,35,Eddy Pineiro kicks extra point good
134,4,11:52,0,0,CAR 35,17,35,"Eddy Pineiro kicks off 65 yards, touchback."
135,4,11:52,1,10,DET 25,17,35,Craig Reynolds right end for no gain (tackle by Sam Franklin)
136,4,11:09,2,10,DET 25,17,35,"Jared Goff pass complete deep left to Josh Reynolds for 27 yards (tackle by C.J. Henderson). Penalty on C.J. Henderson: Defensive Pass Interference, 15 yards (declined) "
137,4,10:36,1,10,CAR 48,17,35,Craig Reynolds left end for 17 yards (tackle by Vonn Bell)
138,4,9:53,1,10,CAR 31,17,35,Craig Reynolds right end for 7 yards (tackle by Shy Tuttle and Chandler Wooten)
139,4,9:05,2,3,CAR 24,17,35,Craig Reynolds up the middle for 19 yards (tackle by Vonn Bell)
140,4,8:19,1,5,CAR 5,17,35,Craig Reynolds right end for no gain (tackle by Sam Franklin)
141,4,7:34,2,5,CAR 5,17,41,"Craig Reynolds left tackle for 5 yards, touchdown"
142,4,7:27,0,0,CAR 15,17,42,Riley Patterson kicks extra point good
143,4,7:27,0,0,DET 35,17,42,"Jack Fox kicks off 65 yards, touchback."
144,4,7:27,1,10,CAR 25,17,42,Miles Sanders up the middle for 8 yards (tackle by Tracy Walker)
145,4,6:45,2,2,CAR 33,17,42,Chuba Hubbard up the middle for 3 yards (tackle by Alim McNeill and Cameron Sutton)
146,4,6:13,1,10,CAR 36,17,42,Bryce Young pass complete deep middle to Ian Thomas for 28 yards (tackle by Tracy Walker)
147,4,5:51,1,10,DET 36,17,42,Chuba Hubbard left tackle for 3 yards (tackle by Jack Campbell)
148,4,5:15,2,7,DET 33,17,42,Bryce Young pass complete short left to Adam Thielen for 8 yards (tackle by Will Harris)
149,4,4:29,1,10,DET 25,17,42,Bryce Young pass complete short left to Chuba Hubbard for no gain (tackle by Derrick Barnes)
150,4,3:46,2,10,DET 25,17,42,Bryce Young pass complete short middle to Adam Thielen for 11 yards (tackle by Will Harris)
151,4,3:11,1,10,DET 14,17,42,Bryce Young pass incomplete short right intended for Chuba Hubbard
152,4,3:05,2,10,DET 14,17,42,Chuba Hubbard up the middle for 5 yards (tackle by Charles Harris)
153,4,2:28,3,5,DET 9,17,42,"Bryce Young pass incomplete short right intended for Jonathan Mingo. Penalty on Alex Anzalone: Roughing the Passer, 5 yards (accepted) (no play)"
154,4,2:23,1,4,DET 4,17,42,Bryce Young pass incomplete short right
155,4,2:18,2,4,DET 4,17,42,Bryce Young pass incomplete short right intended for DJ Chark
156,4,2:12,3,4,DET 4,17,42,"Penalty on CAR: Delay of Game, 5 yards (accepted) (no play)"
157,4,2:12,3,9,DET 9,17,42,Bryce Young pass complete short left to Adam Thielen for 8 yards (tackle by Jerry Jacobs and Will Harris)
158,4,2:00,4,1,DET 1,23,42,"Bryce Young pass complete short left to Adam Thielen for 1 yard, touchdown"
159,4,1:55,0,0,DET 15,24,42,Eddy Pineiro kicks extra point good
160,4,1:55,0,0,CAR 35,24,42,"Eddy Pineiro kicks onside 10 yards, returned by Sam LaPorta for no gain"
161,4,1:53,1,10,CAR 45,24,42,Craig Reynolds right end for 4 yards (tackle by Amare Barno)
162,4,1:08,2,6,CAR 41,24,42,Teddy Bridgewater kneels for -1 yards
163,4,0:34,3,7,CAR 42,24,42,Teddy Bridgewater kneels for -1 yards
