,quarter,time,down,togo,location,away_team,home_team,detail
31,1,0:59,4,19,WAS 11,3,0,"Tress Way punts 57 yards, returned by Deonte Harty for 23 yards (tackle by Jeremy Reaves). Penalty on David Mayo: Offensive Holding, 10 yards (accepted) "
32,1,0:47,1,10,WAS 35,9,0,"Josh Allen pass complete deep left to Gabriel Davis for 35 yards, touchdown"
33,1,0:41,0,0,WAS 15,10,0,Tyler Bass kicks extra point good
34,1,0:41,0,0,BUF 35,10,0,"Tyler Bass kicks off 65 yards, touchback."
35,1,0:41,1,10,WAS 25,10,0,Sam Howell pass complete deep left to Curtis Samuel for 37 yards (tackle by Christian Benford)
36,2,15:00,1,10,BUF 38,10,0,"Curtis Samuel left tackle for no gain (tackle by Terrel Bernard). Penalty on Jordan Phillips: Defensive Holding, 5 yards (accepted) (no play)"
37,2,14:40,1,10,BUF 33,10,0,Sam Howell pass complete short right to Terry McLaurin for 9 yards
38,2,14:05,2,1,BUF 24,10,0,Sam Howell scrambles up the middle for 18 yards (tackle by Tim Settle and Matt Milano)
39,2,13:15,1,6,BUF 6,10,0,Sam Howell pass incomplete short middle intended for Cole Turner
40,2,13:11,2,6,BUF 6,10,0,Sam Howell pass complete short right to Cole Turner for 5 yards (tackle by Terrel Bernard)
41,2,12:29,3,1,BUF 1,10,0,Brian Robinson right tackle for -1 yards (tackle by Ed Oliver and Matt Milano)
42,2,11:46,4,2,BUF 2,10,0,Sam Howell pass incomplete short middle intended for Cole Turner
43,2,11:42,1,10,BUF 2,10,0,Damien Harris right tackle for 2 yards (tackle by John Ridgeway)
44,2,11:05,2,8,BUF 4,10,0,Damien Harris left end for 4 yards (tackle by Kendall Fuller and Jonathan Allen)
45,2,10:23,3,4,BUF 8,10,0,Josh Allen pass complete short right to Khalil Shakir for 5 yards (tackle by Benjamin St-Juste)
46,2,9:37,1,10,BUF 13,10,0,"Josh Allen scrambles for no gain. Penalty on Dalton Kincaid: Illegal Shift, 5 yards (accepted) (no play)"
47,2,9:10,1,15,BUF 8,10,0,James Cook right guard for 3 yards (tackle by Jamin Davis)
48,2,8:29,2,12,BUF 11,10,0,Josh Allen scrambles up the middle for 23 yards (tackle by Cody Barton)
49,2,7:48,1,10,BUF 34,10,0,James Cook left end for 2 yards (tackle by Jamin Davis and Cody Barton)
50,2,7:04,2,8,BUF 36,10,0,Josh Allen pass incomplete deep right intended for Trent Sherfield (defended by Kendall Fuller)
51,2,6:57,3,8,BUF 36,10,0,Josh Allen pass complete short middle to Stefon Diggs for 19 yards (tackle by Darrick Forrest and Kendall Fuller)
52,2,6:29,1,10,WAS 45,10,0,Deonte Harty for 1 yard (tackle by Benjamin St-Juste)
53,2,5:51,2,9,WAS 44,10,0,Josh Allen pass complete short middle to Deonte Harty for 7 yards (tackle by Kamren Curl)
54,2,5:09,3,2,WAS 37,10,0,Damien Harris left tackle for 7 yards (tackle by Cody Barton)
55,2,4:25,1,10,WAS 30,10,0,"Josh Allen sacked by Montez Sweat for no gain. Penalty on Dalton Kincaid: Tripping / Offense, 15 yards (accepted) (no play)"
56,2,4:03,1,25,WAS 45,10,0,Josh Allen pass complete short left to Stefon Diggs for 9 yards (tackle by Benjamin St-Juste and Jamin Davis)
57,2,3:17,2,16,WAS 36,10,0,"Penalty on Mitch Morse: False Start, 5 yards (accepted) (no play)"
58,2,2:56,2,21,WAS 41,10,0,Josh Allen pass complete short middle to Trent Sherfield for 9 yards (tackle by Benjamin St-Juste)
59,2,2:12,3,12,WAS 32,10,0,Josh Allen pass complete short right to Stefon Diggs for -4 yards (tackle by Chase Young)
60,2,2:00,4,16,WAS 36,13,0,Tyler Bass 54 yard field goal good
61,2,1:55,0,0,BUF 35,13,0,"Tyler Bass kicks off 65 yards, touchback."
62,2,1:55,1,10,WAS 25,13,0,Sam Howell pass complete short middle to Terry McLaurin for 4 yards (tackle by Taron Johnson)
63,2,1:37,2,6,WAS 29,13,0,Sam Howell pass complete short middle to Cole Turner for 5 yards (tackle by Taron Johnson)
64,2,1:19,3,1,WAS 34,13,0,Sam Howell pass short left intended for Antonio Gibson is intercepted by Micah Hyde at WAS-34 and returned for 1 yard (tackle by Antonio Gibson)
65,2,1:15,1,10,WAS 33,13,0,Josh Allen pass complete short left to James Cook for 4 yards (tackle by Kendall Fuller)
66,2,1:10,2,7,WAS 29,13,0,James Cook up the middle for 7 yards (tackle by Cody Barton and Kamren Curl)
67,2,0:36,1,10,WAS 22,13,0,Josh Allen pass incomplete short middle intended for Deonte Harty
68,2,0:32,2,10,WAS 22,13,0,Josh Allen pass incomplete deep left intended for Gabriel Davis (defended by Kendall Fuller)
69,2,0:26,3,10,WAS 22,13,0,Josh Allen pass complete short right to Deonte Harty for 8 yards (tackle by Emmanuel Forbes)
70,2,0:22,4,2,WAS 14,16,0,Tyler Bass 32 yard field goal good
71,2,0:19,0,0,BUF 35,16,0,"Tyler Bass kicks off 65 yards, touchback."
72,2,0:19,1,10,WAS 25,16,0,Brian Robinson up the middle for 10 yards (tackle by Gregory Rousseau)
73,3,15:00,0,0,BUF 35,16,0,"Tyler Bass kicks off 65 yards, returned by Antonio Gibson for 17 yards (tackle by Cameron Lewis and Taylor Rapp)"
74,3,14:56,1,10,WAS 17,16,0,Brian Robinson right tackle for 4 yards (tackle by Leonard Floyd and DaQuan Jones)
75,3,14:20,2,6,WAS 21,16,0,Sam Howell pass incomplete short middle intended for Cole Turner
76,3,14:16,3,6,WAS 21,16,0,"Sam Howell pass incomplete. Penalty on Christian Benford: Illegal Contact, 5 yards (accepted) (no play)"
77,3,14:06,1,10,WAS 26,16,0,Sam Howell pass complete short middle to Terry McLaurin for 1 yard (tackle by Jordan Poyer)
78,3,13:08,2,9,WAS 27,16,0,Antonio Gibson left end for 4 yards (tackle by Terrel Bernard and DaQuan Jones)
79,3,12:30,3,5,WAS 31,16,0,Sam Howell pass complete short right to Antonio Gibson for 10 yards (tackle by Christian Benford and Matt Milano)
80,3,11:56,1,10,WAS 41,16,0,Sam Howell pass complete short right to Jahan Dotson for 6 yards (tackle by Matt Milano and Micah Hyde)
81,3,11:22,2,4,WAS 47,16,0,Brian Robinson right guard for 23 yards (tackle by Micah Hyde)
82,3,10:37,1,10,BUF 30,16,0,Antonio Gibson right end for 13 yards (tackle by Jordan Poyer)
83,3,9:58,1,10,BUF 17,16,0,Brian Robinson right tackle for 2 yards (tackle by Taron Johnson and Terrel Bernard)
84,3,9:17,2,8,BUF 15,16,0,Sam Howell pass deep right intended for Curtis Samuel is intercepted by Tre'Davious White in end zone and returned for 2 yards (tackle by Curtis Samuel)
85,3,9:11,1,10,BUF 1,16,0,Josh Allen pass complete deep right to Stefon Diggs for 30 yards (tackle by Darrick Forrest and Benjamin St-Juste)
86,3,8:24,1,10,BUF 31,16,0,Josh Allen pass complete short left to Trent Sherfield for 9 yards (tackle by Kendall Fuller and Percy Butler)
87,3,7:47,2,1,BUF 40,16,0,James Cook right tackle for 10 yards (tackle by Jamin Davis and Darrick Forrest)
88,3,7:13,1,10,WAS 50,16,0,Josh Allen pass incomplete short middle intended for Gabriel Davis
89,3,7:07,2,10,WAS 50,16,0,"Josh Allen scrambles for no gain. Penalty on Spencer Brown: Offensive Holding, 10 yards (accepted) (no play)"
90,3,6:41,2,20,BUF 40,16,0,Josh Allen pass incomplete short middle intended for Stefon Diggs (defended by Jamin Davis)
91,3,6:34,3,20,BUF 40,16,0,Josh Allen pass deep left intended for Gabriel Davis is intercepted by Kendall Fuller at WAS-19 and returned for no gain (tackle by Gabriel Davis)
92,3,6:27,1,10,WAS 19,16,0,Brian Robinson right end for 6 yards (tackle by Terrel Bernard)
93,3,5:49,2,4,WAS 25,16,0,Brian Robinson left end for 13 yards (tackle by Taron Johnson and Christian Benford)
94,3,5:05,1,10,WAS 38,16,0,Sam Howell sacked by Leonard Floyd for -1 yards
95,3,4:24,2,11,WAS 37,16,0,Sam Howell sacked by Leonard Floyd for -6 yards
96,3,3:42,3,17,WAS 31,16,0,"Sam Howell pass complete to Brian Robinson for no gain. Penalty on Nick Gates: Ineligible Downfield Pass, 5 yards (accepted) (no play)"
97,3,3:21,3,22,WAS 26,16,0,Sam Howell pass complete short left to Antonio Gibson for -1 yards (tackle by Christian Benford)
98,3,2:38,4,23,WAS 25,16,0,"Tress Way punts 48 yards, returned by Deonte Harty for 4 yards (tackle by Christian Holmes)"
99,3,2:28,1,10,BUF 31,16,0,James Cook right tackle for 3 yards (tackle by Darrick Forrest)
100,3,1:50,2,7,BUF 34,16,0,Josh Allen pass complete deep left to Stefon Diggs for 20 yards (tackle by Kamren Curl)
101,3,1:07,1,10,WAS 46,16,0,James Cook right tackle for 5 yards (tackle by Montez Sweat and Cody Barton)
102,3,0:28,2,5,WAS 41,16,0,Latavius Murray right guard for 3 yards (tackle by Daron Payne)
103,4,15:00,3,2,WAS 38,16,0,Damien Harris left end for 1 yard (tackle by Jamin Davis and Kamren Curl)
104,4,14:18,4,1,WAS 37,16,0,Josh Allen pass incomplete short right intended for Stefon Diggs (defended by Daron Payne)
105,4,14:16,1,10,WAS 37,16,0,"Sam Howell pass complete short middle to Antonio Gibson for -2 yards. Antonio Gibson fumbles (forced by Taron Johnson), recovered by Terrel Bernard at WAS-30 and returned for -1 yards (tackle by Taron Johnson)"
106,4,14:05,1,10,WAS 31,16,0,Josh Allen pass complete short middle to James Cook for 10 yards (tackle by Jamin Davis and Cody Barton)
107,4,13:25,1,10,WAS 21,16,0,Josh Allen pass complete short left to Stefon Diggs for 3 yards (tackle by Kamren Curl)
108,4,12:47,2,7,WAS 18,16,0,James Cook right end for 5 yards (tackle by Cody Barton and Kendall Fuller)
109,4,12:07,3,2,WAS 13,16,0,Josh Allen pass complete short right to Latavius Murray for 6 yards (tackle by Jamin Davis and Kendall Fuller)
110,4,11:28,1,7,WAS 7,16,0,Deonte Harty right end for -3 yards (tackle by Emmanuel Forbes)
111,4,10:43,2,10,WAS 10,22,0,"Josh Allen scrambles up the middle for 10 yards, touchdown"
112,4,10:37,0,0,WAS 15,23,0,Tyler Bass kicks extra point good
113,4,10:37,0,0,BUF 35,23,0,"Tyler Bass kicks off 65 yards, touchback."
114,4,10:37,1,10,WAS 25,23,0,Sam Howell pass complete short middle to John Bates for 5 yards (tackle by Tre'Davious White)
115,4,10:16,2,5,WAS 30,23,0,Sam Howell pass incomplete short middle intended for Antonio Gibson (defended by Jordan Phillips)
116,4,10:12,3,5,WAS 30,29,0,"Sam Howell pass short left intended for Jahan Dotson is intercepted by A.J. Epenesa at WAS-32 and returned for 32 yards, touchdown"
117,4,10:01,0,0,WAS 15,30,0,Tyler Bass kicks extra point good
118,4,10:01,0,0,BUF 35,30,0,"Tyler Bass kicks off 65 yards, touchback."
119,4,10:01,1,10,WAS 25,30,0,Sam Howell pass complete short middle to Cole Turner for 4 yards (tackle by Tre'Davious White)
120,4,9:38,2,6,WAS 29,30,0,Sam Howell sacked by Ed Oliver for -6 yards
121,4,8:54,3,12,WAS 23,30,0,Sam Howell sacked by Gregory Rousseau for -4 yards
122,4,8:19,4,16,WAS 19,30,0,"Tress Way punts 45 yards, fair catch by Deonte Harty at BUF-36"
123,4,8:12,1,10,BUF 36,30,0,James Cook left guard for 10 yards (tackle by Darrick Forrest and Kendall Fuller)
124,4,7:28,1,10,BUF 46,30,0,Latavius Murray right end for 2 yards (tackle by Chase Young)
125,4,6:43,2,8,BUF 48,30,0,Damien Harris left end for 1 yard (tackle by Kendall Fuller)
126,4,5:59,3,7,BUF 49,30,0,Latavius Murray up the middle for 7 yards (tackle by Cody Barton and Jamin Davis)
127,4,5:21,1,10,WAS 44,30,0,James Cook left end for 6 yards (tackle by Darrick Forrest and Cody Barton)
128,4,4:38,2,4,WAS 38,30,0,James Cook left end for 34 yards (tackle by Benjamin St-Juste)
129,4,3:49,1,4,WAS 4,30,0,Latavius Murray left tackle for 1 yard (tackle by Daron Payne and Jamin Davis)
130,4,3:04,2,3,WAS 3,30,0,James Cook left guard for 1 yard (tackle by Cody Barton)
131,4,2:19,3,2,WAS 2,36,0,"Latavius Murray right guard for 2 yards, touchdown"
132,4,2:15,0,0,WAS 15,37,0,Tyler Bass kicks extra point good
133,4,2:15,0,0,BUF 35,37,0,"Tyler Bass kicks off 65 yards, touchback."
134,4,2:15,1,10,WAS 25,37,0,Sam Howell pass complete short left to Terry McLaurin for 12 yards (tackle by Dane Jackson)
135,4,2:00,1,10,WAS 37,37,0,Sam Howell pass complete short middle to John Bates for 7 yards (tackle by Siran Neal and Dorian Williams)
136,4,1:36,2,3,WAS 44,37,0,Sam Howell pass complete short middle to Jahan Dotson for 15 yards (tackle by Cameron Lewis)
137,4,1:15,1,10,BUF 41,37,0,"Sam Howell pass incomplete intended for Curtis Samuel Replay Assistant challenged the pass completion ruling, and the original play was overturned. Sam Howell pass complete deep left to Curtis Samuel for 17 yards"
138,4,1:10,1,10,BUF 24,37,0,Sam Howell sacked by A.J. Epenesa for -4 yards
139,4,1:02,2,14,BUF 28,37,0,Sam Howell sacked by DaQuan Jones for -5 yards
140,4,0:55,3,19,BUF 33,37,0,Sam Howell pass incomplete short right intended for Curtis Samuel
141,4,0:50,4,19,BUF 33,37,3,Joey Slye 51 yard field goal good
142,4,0:46,0,0,WAS 35,37,3,"Joey Slye kicks off 65 yards, touchback."
143,4,0:46,1,10,BUF 25,37,3,Kyle Allen kneels for -1 yards
144,4,0:18,2,11,BUF 24,37,3,Kyle Allen kneels for -1 yards
