,quarter,time,down,togo,location,away_team,home_team,detail
0,1,15:00,0,0,PHI 35,0,0,"Jake Elliott kicks off no gain, returned by Velus Jones for 26 yards (no play)"
1,1,14:54,1,10,PHI 40,0,0,"Jake Elliott kicks off 60 yards, touchback."
2,1,14:54,1,10,CHI 25,0,0,Justin Fields pass complete short left to Velus Jones for 3 yards (tackle by T.J. Edwards and Avonte Maddox)
3,1,14:15,2,7,CHI 28,0,0,"Penalty on Ryan Griffin: False Start, 4 yards (accepted) (no play)"
4,1,13:56,2,12,CHI 24,0,0,Justin Fields left end for 6 yards (tackle by Josh Sweat and Kyzir White)
5,1,13:20,3,5,CHI 30,0,0,"Penalty on Braxton Jones: False Start, 5 yards (accepted) (no play)"
6,1,13:06,3,10,CHI 25,0,0,Justin Fields pass complete short middle to Equanimeous St. Brown for 20 yards (tackle by James Bradberry)
7,1,12:42,1,10,CHI 45,0,0,David Montgomery left end for 7 yards (tackle by K'Von Wallace)
8,1,12:18,2,3,PHI 48,0,0,David Montgomery left tackle for 2 yards (tackle by Josh Sweat and Kyzir White)
9,1,11:43,3,1,PHI 46,0,0,David Montgomery left tackle for 7 yards (tackle by T.J. Edwards)
10,1,10:58,1,10,PHI 39,0,0,David Montgomery left tackle for 2 yards (tackle by Josh Sweat and Linval Joseph)
11,1,10:20,2,8,PHI 37,0,0,Justin Fields pass complete short left to Cole Kmet for 7 yards (tackle by Milton Williams)
12,1,9:39,3,1,PHI 30,0,0,Justin Fields left end for -2 yards (tackle by K'Von Wallace)
13,1,9:02,4,3,PHI 32,0,0,Justin Fields pass incomplete short right intended for Dante Pettis
14,1,8:59,1,10,PHI 32,0,0,Jalen Hurts right tackle for 6 yards (tackle by Jaquan Brisker)
15,1,8:31,2,4,PHI 38,0,0,Jalen Hurts right tackle for 1 yard (tackle by Jack Sanborn and Trevis Gipson)
16,1,7:47,3,3,PHI 39,0,0,Jalen Hurts pass complete deep left to DeVonta Smith for 21 yards
17,1,7:24,1,10,CHI 40,0,0,"Jalen Hurts pass intended for A.J. Brown is intercepted by Kyler Gordon at CHI-17 and returned for no gain (tackle by A.J. Brown). Penalty on Lane Johnson: Offensive Holding, 10 yards (declined) "
18,1,7:19,1,10,CHI 17,0,0,Justin Fields pass complete short middle to David Montgomery for 7 yards (tackle by Kyzir White)
19,1,6:40,2,3,CHI 24,0,0,Justin Fields scrambles right end for 4 yards (tackle by Marcus Epps)
20,1,6:01,1,10,CHI 28,0,0,Justin Fields scrambles left end for 7 yards (tackle by Patrick Johnson)
21,1,5:12,2,3,CHI 35,0,0,Justin Fields pass complete short middle to Byron Pringle for 4 yards (tackle by K'Von Wallace)
22,1,4:38,1,10,CHI 39,0,0,Justin Fields left end for -2 yards (tackle by Josh Sweat)
23,1,4:04,2,12,CHI 37,0,0,David Montgomery left end for 2 yards (tackle by Kyzir White and Javon Hargrave)
24,1,3:19,3,10,CHI 39,0,0,Justin Fields sacked by Josh Sweat for -14 yards
25,1,2:49,4,24,CHI 25,0,0,"Trenton Gill punts 47 yards, returned by Britain Covey for 7 yards (tackle by Josh Blackwell)"
26,1,2:39,1,10,PHI 35,0,0,Jalen Hurts pass incomplete short left intended for Zach Pascal
27,1,2:32,2,10,PHI 35,0,0,Jalen Hurts pass incomplete deep right intended for DeVonta Smith
28,1,2:26,3,10,PHI 35,0,0,Jalen Hurts pass incomplete deep right intended for A.J. Brown
29,1,2:21,4,10,PHI 35,0,0,"Brett Kern punts 40 yards, returned by Dante Pettis for 4 yards (tackle by Rick Lovato and Nakobe Dean)"
30,1,2:09,1,10,CHI 29,0,0,Justin Fields pass complete short right to Dante Pettis for 13 yards (tackle by T.J. Edwards)
31,1,1:43,1,10,CHI 42,0,0,Darrynton Evans right guard for 3 yards (tackle by Haason Reddick and Kyzir White)
32,1,1:18,2,7,CHI 45,0,0,Justin Fields pass complete short left to Cole Kmet for 6 yards (tackle by T.J. Edwards)
33,1,0:37,3,1,PHI 49,0,0,Justin Fields sacked by Javon Hargrave for -8 yards
34,2,15:00,4,9,CHI 43,0,0,"Trenton Gill punts 38 yards, fair catch by Britain Covey at PHI-19"
35,2,14:52,1,10,PHI 19,0,0,Jalen Hurts left end for 2 yards (tackle by Jack Sanborn)
36,2,14:14,2,8,PHI 21,0,0,Jalen Hurts pass complete short middle to DeVonta Smith for 45 yards (tackle by DeAndre Houston-Carson)
37,2,1:33,1,10,CHI 34,0,0,Jalen Hurts pass incomplete deep right intended for Grant Calcaterra
38,2,13:27,2,10,CHI 34,0,0,Jalen Hurts pass complete short middle to A.J. Brown for 16 yards (tackle by DeAndre Houston-Carson and Kyler Gordon)
39,2,13:06,1,10,CHI 18,0,0,Jalen Hurts pass complete short right to Quez Watkins for 1 yard (tackle by Jack Sanborn)
40,2,12:40,2,9,CHI 17,0,0,"Quez Watkins left end for 4 yards (tackle by Jaylon Johnson). Penalty on Tyree Jackson: Offensive Holding, 10 yards (accepted) "
41,2,12:20,2,15,CHI 23,0,0,Jalen Hurts pass incomplete deep left intended for A.J. Brown (defended by Jaylon Johnson)
42,2,12:15,3,15,CHI 23,0,0,Jalen Hurts pass complete short middle to A.J. Brown for 9 yards (tackle by Jaquan Brisker)
43,2,11:54,4,6,CHI 14,3,0,Jake Elliott 32 yard field goal good
44,2,11:50,0,0,PHI 35,3,0,"Jake Elliott kicks off 65 yards, touchback."
45,2,11:50,1,10,CHI 25,3,0,David Montgomery left guard for 2 yards (tackle by Avonte Maddox)
46,2,11:19,2,8,CHI 27,3,0,Justin Fields left tackle for 4 yards (tackle by K'Von Wallace)
47,2,10:42,3,4,CHI 31,3,0,Justin Fields scrambles up the middle for 15 yards (tackle by Marcus Epps)
