,quarter,time,down,togo,location,away_team,home_team,detail
0,1,15:00,0,0,TEN 35,0,0,"Caleb Shudak kicks off 65 yards, touchback."
1,1,15:00,1,10,CIN 25,0,0,Joe Burrow pass complete short left to Samaje Perine for 7 yards (tackle by Kristian Fulton and Amani Hooker)
2,1,14:20,2,3,CIN 32,0,0,Joe Burrow pass complete short left to Tee Higgins for 4 yards (tackle by Kristian Fulton)
3,1,13:49,1,10,CIN 36,0,0,Joe Burrow pass incomplete short left intended for Hayden Hurst (defended by Andrew Adams)
4,1,13:47,2,10,CIN 36,0,0,Joe Burrow scrambles up the middle for 13 yards (tackle by Kristian Fulton)
5,1,13:08,1,10,CIN 49,0,0,Joe Burrow pass complete short right to Tee Higgins for 7 yards (tackle by Roger McCreary)
6,1,12:35,2,3,TEN 44,0,0,Joe Burrow pass incomplete short right intended for Samaje Perine (defended by Mario Edwards)
7,1,12:32,3,3,TEN 44,0,0,"Joe Burrow pass complete short left to Tee Higgins for no gain (tackle by Roger McCreary and David Long). Penalty on Chris Evans: Offensive Pass Interference, 10 yards (accepted) (no play)"
8,1,12:05,3,13,CIN 46,0,0,Joe Burrow pass incomplete short right intended for Trenton Irwin (defended by Tre Avery)
9,1,12:01,4,13,CIN 46,0,0,"Drue Chrisman punts 48 yards, returned by C.J. Board for 12 yards (tackle by Michael Thomas and Joe Bachie)"
10,1,11:50,1,10,TEN 18,0,0,Derrick Henry right tackle for 9 yards (tackle by Cam Taylor-Britt)
11,1,11:21,2,1,TEN 27,0,0,"Penalty on Dillon Radunz: False Start, 5 yards (accepted) (no play)"
12,1,11:01,2,6,TEN 22,0,0,Dontrell Hilliard right end for 5 yards (tackle by Germaine Pratt)
13,1,10:21,3,1,TEN 27,0,0,Ryan Tannehill pass complete short left to Treylon Burks for 4 yards (tackle by Logan Wilson)
14,1,9:43,1,10,TEN 31,0,0,Ryan Tannehill pass complete short right to Chigoziem Okonkwo for 12 yards (tackle by Eli Apple)
15,1,9:09,1,10,TEN 43,0,0,Derrick Henry left guard for 3 yards (tackle by Sam Hubbard and B.J. Hill)
16,1,8:36,2,7,TEN 46,0,0,"Penalty on Ryan Tannehill: False Start, 5 yards (accepted) (no play)"
17,1,8:16,2,12,TEN 41,0,0,Ryan Tannehill pass incomplete short left intended for Nick Westbrook-Ikhine (defended by D.J. Reader)
18,1,8:14,3,12,TEN 41,0,0,Ryan Tannehill pass complete short right to Treylon Burks for 8 yards (tackle by Logan Wilson)
19,1,7:33,4,4,TEN 49,0,0,"Ryan Stonehouse punts 44 yards, fair catch by Trent Taylor at CIN-7. Penalty on Joe Bachie: Offensive Holding, 3 yards (accepted) "
20,1,7:26,1,10,CIN 4,0,0,Samaje Perine right guard for 3 yards (tackle by Rashad Weaver and Jeffery Simmons)
21,1,6:55,2,7,CIN 7,0,0,Joe Burrow pass incomplete short right intended for Tee Higgins
22,1,6:52,3,7,CIN 7,0,0,Joe Burrow pass incomplete short right intended for Tyler Boyd
23,1,6:48,4,7,CIN 7,0,0,"Drue Chrisman punts 62 yards, returned by C.J. Board for 9 yards (tackle by Markus Bailey)"
24,1,6:36,1,10,TEN 40,0,0,Ryan Tannehill pass incomplete short left intended for Robert Woods (defended by D.J. Reader)
25,1,6:33,2,10,TEN 40,0,0,Ryan Tannehill pass complete short left to Derrick Henry for 1 yard (tackle by Vonn Bell and B.J. Hill)
26,1,5:43,3,9,TEN 41,0,0,"Penalty on Trey Hendrickson: Neutral Zone Infraction, 5 yards (accepted) (no play)"
27,1,5:21,3,4,TEN 46,0,0,Ryan Tannehill pass incomplete short left intended for Robert Woods
28,1,5:15,4,4,TEN 46,0,0,"Ryan Stonehouse punts 54 yards, touchback.. Penalty on Markus Bailey: Offensive Holding, 10 yards (accepted) "
29,1,5:08,1,10,CIN 10,0,0,Joe Burrow pass complete short right to Samaje Perine for 1 yard (tackle by Kevin Byard)
30,1,4:36,2,9,CIN 11,0,0,Joe Burrow sacked by DeMarcus Walker for -4 yards
31,1,3:56,3,13,CIN 7,0,0,Joe Burrow pass complete short left to Hayden Hurst for no gain (tackle by David Long)
32,1,3:21,4,13,CIN 7,0,0,"Drue Chrisman punts 55 yards, returned by C.J. Board for 8 yards (tackle by Stanley Morgan)"
33,1,3:07,1,10,TEN 46,0,0,Derrick Henry left tackle for -1 yards (tackle by Logan Wilson)
34,1,2:23,2,11,TEN 45,0,0,Ryan Tannehill pass complete short left to Dontrell Hilliard for 6 yards (tackle by Cam Taylor-Britt)
35,1,1:46,3,5,CIN 49,0,0,Ryan Tannehill pass complete short left to Austin Hooper for 8 yards (tackle by Germaine Pratt)
36,1,1:09,1,10,CIN 41,0,0,Derrick Henry right end for no gain (tackle by B.J. Hill and Vonn Bell)
37,1,0:28,2,10,CIN 41,0,0,Ryan Tannehill pass incomplete deep middle intended for Treylon Burks
38,1,0:22,3,10,CIN 41,0,0,Ryan Tannehill pass complete deep middle to Nick Westbrook-Ikhine for 25 yards (tackle by Vonn Bell)
39,2,15:00,1,10,CIN 16,0,0,Ryan Tannehill pass incomplete short right intended for Geoff Swaim
40,2,14:57,2,10,CIN 16,0,0,Derrick Henry up the middle for 1 yard (tackle by Mike Hilton and Cam Taylor-Britt)
41,2,14:13,3,9,CIN 15,0,0,Ryan Tannehill pass incomplete short right intended for Robert Woods
42,2,14:10,4,9,CIN 15,0,3,Caleb Shudak 33 yard field goal good
43,2,14:06,0,0,TEN 35,0,3,"Caleb Shudak kicks off 65 yards, touchback."
44,2,14:06,1,10,CIN 25,0,3,Samaje Perine right tackle for 5 yards (tackle by Kevin Byard)
45,2,13:29,2,5,CIN 30,0,3,Samaje Perine left guard for 9 yards (tackle by Amani Hooker and Sam Okuayinonu)
46,2,12:57,1,10,CIN 39,0,3,Joe Burrow pass complete deep left to Hayden Hurst for 29 yards (tackle by Amani Hooker and David Long)
47,2,12:17,1,10,TEN 32,0,3,Samaje Perine left tackle for 4 yards (tackle by Amani Hooker)
48,2,11:42,2,6,TEN 28,0,3,Joe Burrow pass incomplete short right intended for Tee Higgins
49,2,11:38,3,6,TEN 28,0,3,Joe Burrow pass incomplete short left intended for Hayden Hurst (defended by Roger McCreary)
50,2,11:35,4,6,TEN 28,3,3,Evan McPherson 47 yard field goal good
51,2,11:30,0,0,CIN 35,3,3,"Evan McPherson kicks off 65 yards, touchback."
52,2,11:30,1,10,TEN 25,3,9,"Ryan Tannehill pass complete short left to Derrick Henry for 69 yards. Derrick Henry fumbles (forced by Cam Taylor-Britt), recovered by Treylon Burks in end zone, touchdown"
53,2,11:15,0,0,CIN 15,3,10,Caleb Shudak kicks extra point good
54,2,11:15,0,0,TEN 35,3,10,"Caleb Shudak kicks off 55 yards, returned by Trayveon Williams for 14 yards (tackle by Andre Smith and Cody Hollister)"
55,2,11:01,1,10,CIN 24,3,10,"Joe Burrow pass complete short left to Hayden Hurst for 7 yards. Penalty on Tee Higgins: Offensive Pass Interference, 10 yards (accepted) (no play)"
56,2,10:35,1,20,CIN 14,3,10,Samaje Perine up the middle for 1 yard (tackle by Bud Dupree)
57,2,9:59,2,19,CIN 15,3,10,Joe Burrow pass incomplete short right intended for Trenton Irwin (defended by Tre Avery)
58,2,9:52,3,19,CIN 15,3,10,Joe Burrow pass complete short middle to Trent Taylor for 8 yards (tackle by David Long)
59,2,9:15,4,11,CIN 23,3,10,"Drue Chrisman punts 59 yards, returned by C.J. Board for 13 yards (tackle by Michael Thomas and Markus Bailey)"
60,2,9:09,1,10,TEN 31,3,10,Derrick Henry right tackle for -2 yards (tackle by Sam Hubbard)
61,2,8:30,2,12,TEN 29,3,10,Derrick Henry up the middle for 3 yards (tackle by Trey Hendrickson and Sam Hubbard)
62,2,7:44,3,9,TEN 32,3,10,Ryan Tannehill pass incomplete short middle intended for Treylon Burks (defended by Eli Apple)
63,2,7:41,4,9,TEN 32,3,10,"Ryan Stonehouse punts 52 yards, returned by Trent Taylor for no gain (tackle by Joseph Jones). Penalty on Tre Flowers: Unnecessary Roughness / Offense, 8 yards (accepted) "
64,2,7:29,1,10,CIN 8,3,10,Joe Burrow pass complete short left to Samaje Perine for 32 yards (tackle by Kevin Byard and Kristian Fulton)
65,2,6:55,1,10,CIN 40,3,10,Trayveon Williams right end for 2 yards (tackle by David Long)
66,2,6:19,2,8,CIN 42,3,10,Joe Burrow scrambles up the middle for 4 yards (tackle by Bud Dupree)
67,2,5:34,3,4,CIN 46,3,10,Joe Burrow pass complete short middle to Hayden Hurst for 12 yards (tackle by Tre Avery and Kevin Byard)
68,2,4:52,1,10,TEN 42,3,10,Joe Burrow scrambles left end for 13 yards (tackle by Teair Tart)
69,2,4:10,1,10,TEN 29,3,10,Joe Burrow pass complete short left to Samaje Perine for -5 yards (tackle by Jeffery Simmons)
70,2,3:26,2,15,TEN 34,3,10,Joe Burrow pass complete short right to Hayden Hurst for 3 yards (tackle by Kevin Byard)
71,2,2:47,3,12,TEN 31,3,10,Joe Burrow pass complete deep right to Trayveon Williams for 24 yards (tackle by Kevin Byard)
72,2,2:00,1,7,TEN 7,9,10,"Samaje Perine right tackle for 7 yards, touchdown"
73,2,1:55,0,0,TEN 15,10,10,Evan McPherson kicks extra point good
74,2,1:55,0,0,CIN 35,10,10,"Penalty on Joshua Kalu: Defensive Offside, 5 yards (accepted) (no play)"
75,2,1:55,1,10,CIN 40,10,10,"Evan McPherson kicks off 60 yards, touchback."
