,quarter,time,down,togo,location,away_team,home_team,detail
22,1,6:14,1,10,CHI 42,6,7,Justin Fields pass complete short left to Cole Kmet for 5 yards (tackle by Shaq Lawson)
23,1,5:41,2,5,CHI 47,6,7,David Montgomery right guard for 3 yards (tackle by Tremaine Edmunds)
24,1,4:57,3,2,CHI 50,6,7,David Montgomery right end for 10 yards (tackle by Tremaine Edmunds)
25,1,4:15,1,10,BUF 40,6,7,Justin Fields pass incomplete short left intended for Cole Kmet
26,1,4:09,2,10,BUF 40,6,7,Khalil Herbert right tackle for -1 yards (tackle by Kingsley Jonathan)
27,1,3:26,3,11,BUF 41,6,7,Justin Fields pass complete short middle to Velus Jones for 8 yards (tackle by Dane Jackson)
28,1,2:47,4,3,BUF 33,6,7,Justin Fields pass incomplete short left intended for Dante Pettis (defended by Ed Oliver)
29,1,2:44,1,10,BUF 34,6,7,Josh Allen pass complete short left to Reggie Gilliam for 12 yards (tackle by Jaylon Jones and Nicholas Morrow)
30,1,2:00,1,10,BUF 46,6,7,Devin Singletary left guard for 2 yards (tackle by Justin Jones)
31,1,1:23,2,8,BUF 48,6,7,Devin Singletary for 15 yards (tackle by DeAndre Houston-Carson and Jaquan Brisker)
32,1,0:39,1,10,CHI 37,6,7,Devin Singletary right tackle for 3 yards (tackle by Joe Thomas)
33,2,15:00,2,7,CHI 34,6,7,Josh Allen pass complete short middle to Gabriel Davis for 15 yards (tackle by Jaquan Brisker)
34,2,14:24,1,10,CHI 19,6,7,"Josh Allen scrambles for no gain. Penalty on Rodger Saffold: Offensive Holding, 10 yards (accepted) (no play)"
35,2,13:49,1,20,CHI 29,6,7,Josh Allen pass complete short middle to Dawson Knox for 1 yard (tackle by Joe Thomas and Josh Blackwell)
36,2,13:10,2,19,CHI 28,6,7,Josh Allen pass deep right intended for Isaiah McKenzie is intercepted by Kyler Gordon in end zone and returned for 36 yards (tackle by James Cook)
37,2,12:53,1,10,CHI 34,6,7,Justin Fields pass complete short right to Cole Kmet for 7 yards
38,2,12:22,2,3,CHI 41,6,7,Khalil Herbert right end for 5 yards (tackle by Damar Hamlin)
39,2,11:41,1,10,CHI 46,6,7,Justin Fields pass incomplete short right intended for Dante Pettis
40,2,11:37,2,10,CHI 46,6,7,Justin Fields pass complete short left to Khalil Herbert for -2 yards (tackle by Damar Hamlin)
41,2,10:57,3,12,CHI 44,6,7,"Sam Mustipher aborted snap, recovered by Justin Fields at CHI-44 Justin Fields for no gain (tackle by Ed Oliver)"
42,2,10:21,4,21,CHI 35,6,7,Trenton Gill punts 63 yards downed by Nsimba Webster
43,2,10:10,1,10,BUF 2,6,7,"Josh Allen aborted snap, recovered by Josh Allen at BUF-1 Josh Allen for no gain"
44,2,9:32,2,11,BUF 1,6,7,Devin Singletary left tackle for 3 yards (tackle by Mike Pennel)
45,2,8:52,3,8,BUF 4,6,7,Josh Allen sacked by Jaquan Brisker for no gain
46,2,8:07,4,8,BUF 4,6,7,"Sam Martin punts 46 yards, returned by Dante Pettis for 12 yards (tackle by A.J. Klein)"
47,2,7:53,1,10,BUF 38,6,7,David Montgomery left guard for 1 yard (tackle by Matt Milano)
48,2,7:16,2,9,BUF 37,6,7,David Montgomery left guard for 3 yards (tackle by Shaq Lawson and Jordan Phillips)
49,2,6:39,3,6,BUF 34,6,7,David Montgomery right guard for 3 yards (tackle by Tremaine Edmunds and Tim Settle)
50,2,5:58,4,3,BUF 31,6,7,Justin Fields pass complete short right to David Montgomery for 6 yards (tackle by Tre'Davious White)
51,2,5:17,1,10,BUF 25,6,7,Justin Fields right end for 2 yards (tackle by Tre'Davious White)
52,2,4:41,2,8,BUF 23,6,7,Justin Fields left end for -2 yards (tackle by Damar Hamlin)
53,2,3:55,3,10,BUF 25,6,7,"Justin Fields pass complete to Dante Pettis for no gain (tackle by Taron Johnson). Penalty on Kingsley Jonathan: Defensive Offside, 6 yards (accepted) (no play)"
54,2,3:29,3,5,BUF 20,6,7,Justin Fields pass incomplete short left intended for Khalil Herbert (defended by Matt Milano)
55,2,3:25,4,4,BUF 19,6,10,Cairo Santos 37 yard field goal good
56,2,3:21,0,0,CHI 35,6,10,"Trenton Gill kicks off 51 yards, returned by Nyheim Hines for 20 yards (tackle by DeAndre Houston-Carson and A.J. Thomas)"
57,2,3:16,1,10,BUF 34,6,10,Josh Allen scrambles right guard for 15 yards (tackle by Al-Quadin Muhammad)
58,2,2:51,1,10,BUF 49,6,10,Josh Allen pass complete short left to James Cook for 9 yards (tackle by Jaylon Jones and Josh Blackwell)
59,2,2:16,2,1,CHI 42,6,10,James Cook left tackle for 6 yards (tackle by Nicholas Morrow)
60,2,2:00,1,10,CHI 36,6,10,James Cook left tackle for 16 yards (tackle by DeAndre Houston-Carson and Jaquan Brisker)
61,2,1:14,1,10,CHI 20,6,10,Josh Allen pass incomplete short left intended for Dawson Knox
62,2,1:04,2,10,CHI 20,6,10,"Josh Allen pass complete to Gabriel Davis for 7 yards Replay Assistant challenged the runner was in bounds ruling, and the original play was overturned. Josh Allen pass incomplete short left intended for Gabriel Davis"
63,2,1:04,3,10,CHI 20,6,10,Josh Allen pass incomplete deep left intended for Gabriel Davis (defended by Jaylon Jones)
64,2,0:56,4,10,CHI 20,6,10,Tyler Bass 38 yard field goal no good
65,2,0:51,1,10,CHI 28,6,10,Justin Fields sacked by Ed Oliver for -5 yards
66,2,0:44,2,16,CHI 23,6,10,David Montgomery right guard for 4 yards (tackle by Taron Johnson)
67,3,15:00,0,0,CHI 35,6,10,"Trenton Gill kicks off 64 yards, returned by Nyheim Hines for 23 yards (tackle by Elijah Hicks). Penalty on Siran Neal: Offensive Holding, 10 yards (accepted) "
68,3,14:52,1,10,BUF 14,6,10,Josh Allen pass complete short right to Stefon Diggs for 15 yards (tackle by Kyler Gordon)
69,3,14:15,1,10,BUF 29,6,10,Isaiah McKenzie right end for 6 yards (tackle by Justin Jones)
70,3,13:38,2,4,BUF 35,6,10,Nyheim Hines right end for 2 yards (tackle by Joe Thomas)
71,3,12:54,3,2,BUF 37,6,10,Josh Allen pass complete to Devin Singletary for 10 yards (tackle by Kyler Gordon)
72,3,12:23,1,10,BUF 47,6,10,Josh Allen pass incomplete short middle intended for Devin Singletary
73,3,12:19,2,10,BUF 47,6,10,Josh Allen pass complete short middle to Devin Singletary for 9 yards (tackle by Nicholas Morrow)
74,3,11:36,3,1,CHI 44,6,10,Josh Allen scrambles left end for 11 yards (tackle by Matthew Adams)
75,3,10:59,1,10,CHI 33,12,10,"Devin Singletary for 33 yards, touchdown"
76,3,10:51,0,0,CHI 2,14,10,Two Point Attempt: Josh Allen pass complete to to Khalil Shakir for no gain
77,3,10:51,0,0,BUF 35,14,10,"Tyler Bass kicks off 64 yards, returned by Velus Jones for 24 yards (tackle by Cameron Lewis)"
78,3,10:44,1,10,CHI 25,14,10,David Montgomery left end for -7 yards (tackle by Shaq Lawson)
79,3,10:06,2,17,CHI 18,14,10,Justin Fields pass complete short left to David Montgomery for 10 yards (tackle by Matt Milano)
80,3,9:25,3,7,CHI 28,14,10,"Justin Fields pass complete to David Montgomery for no gain. Penalty on Tre'Davious White: Defensive Holding, 6 yards (accepted) (no play)"
81,3,8:55,1,10,CHI 35,14,10,Justin Fields pass incomplete deep left
82,3,8:49,2,10,CHI 34,14,10,"David Montgomery right tackle for no gain. David Montgomery fumbles (forced by Dane Jackson), recovered by Tim Settle at CHI-35 (tackle by Michael Schofield)"
83,3,8:44,1,10,CHI 35,14,10,Josh Allen pass incomplete deep left intended for Gabriel Davis (defended by Jaylon Jones)
84,3,8:36,2,10,CHI 35,14,10,James Cook left tackle for 8 yards (tackle by Joe Thomas)
85,3,8:02,3,2,CHI 27,20,10,"James Cook left tackle for 27 yards, touchdown"
86,3,7:57,0,0,CHI 2,20,10,Two Point Attempt: Josh Allen pass complete to to Gabriel Davis for no gain (no play)
87,3,7:57,0,0,CHI 20,21,10,Tyler Bass kicks extra point good
88,3,7:57,0,0,BUF 35,21,10,"Tyler Bass kicks off 65 yards, touchback."
89,3,7:57,1,10,CHI 25,21,10,David Montgomery left guard for 1 yard (tackle by DaQuan Jones)
90,3,7:24,2,9,CHI 26,21,10,Justin Fields pass complete short middle to Cole Kmet for 4 yards (tackle by Tremaine Edmunds)
91,3,6:49,3,5,CHI 30,21,10,Justin Fields pass incomplete short left intended for Dante Pettis
92,3,6:43,4,5,CHI 30,21,10,"Trenton Gill punts 40 yards, returned by Nyheim Hines for 3 yards (tackle by Elijah Lee)"
93,3,6:31,1,10,BUF 33,21,10,James Cook left tackle for 7 yards (tackle by Taco Charlton and Nicholas Morrow)
94,3,5:55,2,3,BUF 40,21,10,"Josh Allen scrambles left guard for no gain (tackle by Nicholas Morrow). Penalty on Spencer Brown: Offensive Holding, 10 yards (accepted) (no play)"
95,3,5:24,2,13,BUF 30,21,10,Devin Singletary left end for 6 yards (tackle by Jaquan Brisker)
96,3,4:41,3,7,BUF 36,21,10,Josh Allen pass incomplete short left intended for Dawson Knox
97,3,4:35,4,7,BUF 36,21,10,Sam Martin punts 53 yards downed by Taiwan Jones
98,3,4:23,1,10,CHI 11,21,10,Khalil Herbert right guard for -1 yards (tackle by Tim Settle)
99,3,3:43,2,11,CHI 10,21,10,Khalil Herbert right end for 3 yards (tackle by Tre'Davious White and Matt Milano)
100,3,2:56,3,8,CHI 13,21,10,Justin Fields pass incomplete short middle intended for Velus Jones (defended by Ed Oliver)
101,3,2:52,4,8,CHI 13,21,10,"Trenton Gill punts 57 yards, recovered by Nyheim Hines at BUF-30, returned by Nyheim Hines for 8 yards (tackle by Patrick Scales and Ryan Griffin)"
102,3,2:37,1,10,BUF 38,21,10,Devin Singletary left guard for 2 yards (tackle by Nicholas Morrow)
103,3,1:51,2,8,BUF 40,21,10,Josh Allen pass complete short left to Stefon Diggs for 11 yards (tackle by Joe Thomas)
104,3,1:10,1,10,CHI 49,21,10,Josh Allen pass complete short right to Khalil Shakir for 5 yards
105,3,0:35,2,5,CHI 44,21,10,"Josh Allen pass complete to Gabriel Davis for 11 yards. Gabriel Davis fumbles (forced by Matthew Adams), recovered by Elijah Hicks at CHI-33 (tackle by Dion Dawkins)"
106,3,0:24,1,10,CHI 33,21,10,Justin Fields pass complete deep right to Velus Jones for 44 yards (tackle by Tre'Davious White)
107,4,15:00,1,10,BUF 23,21,10,Khalil Herbert left guard for 3 yards (tackle by Kaiir Elam)
108,4,14:30,2,7,BUF 20,21,10,David Montgomery left tackle for 5 yards (tackle by Matt Milano and Damar Hamlin)
109,4,13:46,3,2,BUF 15,21,10,David Montgomery left end for -1 yards (tackle by Shaq Lawson)
110,4,12:59,4,3,BUF 16,21,10,"Justin Fields pass complete to Ryan Griffin for 3 yards (tackle by Tre'Davious White) Replay Assistant challenged the first down ruling, and the original play was overturned. Justin Fields pass complete short left to Ryan Griffin for 2 yards (tackle by Tre'Davious White)"
111,4,12:59,1,10,BUF 14,21,10,James Cook right tackle for 3 yards (tackle by Trevis Gipson)
112,4,12:24,2,7,BUF 17,21,10,Josh Allen pass short middle intended for James Cook is intercepted by Nicholas Morrow at BUF-23 and returned for 5 yards (tackle by Khalil Shakir)
113,4,12:13,1,10,BUF 18,21,10,Justin Fields pass complete short right to Khalil Herbert for -2 yards (tackle by Gregory Rousseau and Tremaine Edmunds)
114,4,11:37,2,12,BUF 20,21,10,David Montgomery right guard for no gain (tackle by Ed Oliver)
115,4,11:04,3,12,BUF 20,21,10,Justin Fields scrambles left end for 3 yards (tackle by Ed Oliver)
116,4,10:23,4,9,BUF 17,21,13,Cairo Santos 35 yard field goal good
117,4,10:19,0,0,CHI 35,21,13,"Trenton Gill kicks off 62 yards, recovered by Nyheim Hines at BUF-5 and returned for 11 yards (tackle by Elijah Hicks) returned by Nyheim Hines for 22 yards"
118,4,10:10,1,10,BUF 16,21,13,James Cook right tackle for 1 yard (tackle by Jaquan Brisker)
119,4,9:35,2,9,BUF 17,21,13,Josh Allen pass incomplete deep right intended for Isaiah McKenzie
120,4,9:30,3,9,BUF 17,21,13,Josh Allen pass incomplete short right
121,4,9:20,4,9,BUF 17,21,13,Sam Martin punts 62 yards out of bounds
122,4,9:13,1,10,CHI 21,21,13,David Montgomery left tackle for 4 yards (tackle by Damar Hamlin and Matt Milano)
123,4,8:37,2,6,CHI 25,21,13,Khalil Herbert right end for -2 yards (tackle by Jordan Phillips and Tremaine Edmunds)
124,4,8:06,3,8,CHI 23,21,13,"Penalty on CHI: Offensive Too Many Men on Field, 5 yards (accepted) (no play)"
125,4,8:06,3,13,CHI 18,21,13,Justin Fields scrambles right end for 1 yard (tackle by Matt Milano)
126,4,7:33,4,12,CHI 19,21,13,"Trenton Gill punts 37 yards, returned by Nyheim Hines for 10 yards (tackle by Khari Blasingame). Penalty on Tyrel Dodson: Offensive Low Block, 10 yards (accepted) "
127,4,7:21,1,10,BUF 44,21,13,Devin Singletary right end for 8 yards (tackle by Nicholas Morrow)
128,4,6:45,2,2,CHI 48,21,13,Devin Singletary right tackle for 26 yards (tackle by Kyler Gordon)
129,4,5:59,1,10,CHI 22,21,13,Devin Singletary right end for 1 yard (tackle by Kyler Gordon)
130,4,5:53,2,9,CHI 21,21,13,Josh Allen right tackle for 1 yard (tackle by Nicholas Morrow and Joe Thomas)
131,4,5:27,3,8,CHI 20,21,13,Josh Allen pass complete short right to Nyheim Hines for 9 yards (tackle by Josh Blackwell)
132,4,5:20,1,10,CHI 11,21,13,Devin Singletary right guard for 4 yards (tackle by Trevis Gipson)
133,4,4:35,2,6,CHI 7,21,13,Devin Singletary for 3 yards (tackle by Joe Thomas and Justin Jones)
134,4,3:51,3,3,CHI 4,27,13,"Josh Allen scrambles for 4 yards, touchdown"
135,4,3:45,0,0,CHI 15,28,13,Tyler Bass kicks extra point good
136,4,3:45,0,0,BUF 35,28,13,"Tyler Bass kicks off 62 yards, recovered by Velus Jones at CHI-5 returned by Velus Jones for 20 yards (tackle by Taiwan Jones and Siran Neal)"
137,4,3:38,1,10,CHI 25,28,13,Justin Fields pass complete short left to Dante Pettis for 5 yards (tackle by Taron Johnson)
138,4,3:18,2,5,CHI 30,28,13,Justin Fields sacked by A.J. Epenesa for -10 yards
139,4,2:42,3,15,CHI 20,28,13,Justin Fields pass complete short left to David Montgomery for 1 yard (tackle by Siran Neal)
140,4,2:19,4,14,CHI 21,28,13,Justin Fields pass incomplete short left intended for Velus Jones (defended by Tre'Davious White)
141,4,2:08,1,10,CHI 20,28,13,James Cook left tackle for no gain (tackle by Jaylon Jones and Jaquan Brisker)
142,4,2:00,2,10,CHI 20,28,13,James Cook right guard for 3 yards (tackle by Mike Pennel)
143,4,1:54,3,7,CHI 17,28,13,James Cook right tackle for 4 yards (tackle by Dominique Robinson)
144,4,1:08,4,3,CHI 13,34,13,"Josh Allen pass complete short right to Dawson Knox for 13 yards, touchdown"
145,4,1:02,0,0,CHI 15,35,13,Tyler Bass kicks extra point good
146,4,1:02,0,0,BUF 35,35,13,"Tyler Bass kicks off 65 yards, touchback."
147,4,1:02,1,10,CHI 25,35,13,Nathan Peterman pass complete short right to Byron Pringle for 14 yards (tackle by Tyrel Dodson)
148,4,0:42,1,10,CHI 39,35,13,Nathan Peterman pass complete short middle to Cole Kmet for 4 yards (tackle by Siran Neal)
149,4,0:25,2,6,CHI 43,35,13,Nathan Peterman pass complete short right to Cole Kmet for 7 yards (tackle by Siran Neal)
150,4,0:07,1,10,CHI 50,35,13,Nathan Peterman spiked the ball
151,4,0:06,2,10,CHI 50,35,13,Nathan Peterman pass deep right is intercepted by Jaquan Johnson in end zone and returned for no gain
