,quarter,time,down,togo,location,away_team,home_team,detail
0,1,15:00,0,0,MIN 35,0,0,"Greg Joseph kicks off 66 yards, returned by Justin Jackson for 21 yards (tackle by Kris Boyd)"
1,1,14:56,1,10,DET 20,0,0,D'Andre Swift left end for 6 yards (tackle by Jordan Hicks)
2,1,14:18,2,4,DET 26,0,0,Jared Goff pass complete to DJ Chark for 23 yards (tackle by Patrick Peterson)
3,1,13:51,1,10,DET 49,0,0,Jared Goff pass complete deep left to DJ Chark for 17 yards (tackle by Cameron Dantzler)
4,1,13:13,1,10,MIN 34,0,0,Craig Reynolds right guard for no gain (tackle by Chandon Sullivan)
5,1,12:43,2,10,MIN 34,0,0,Jared Goff pass complete short left to D'Andre Swift for -2 yards (tackle by Danielle Hunter)
6,1,12:04,3,12,MIN 36,0,0,Jared Goff pass complete short left to Amon-Ra St. Brown for 6 yards (tackle by Eric Kendricks and Josh Metellus)
7,1,11:09,4,6,MIN 30,0,0,Austin Seibert 48 yard field goal no good
8,1,11:03,1,10,MIN 38,0,0,Dalvin Cook up the middle for 7 yards (tackle by Malcolm Rodriguez and Tracy Walker)
9,1,10:31,2,3,MIN 45,0,0,Dalvin Cook right guard for 5 yards (tackle by Chris Board)
10,1,10:08,1,10,MIN 50,0,0,Kirk Cousins pass complete short left to Ben Ellefson for 12 yards (tackle by DeShon Elliott)
11,1,9:40,1,10,DET 38,0,0,Kirk Cousins pass incomplete short middle intended for Justin Jefferson (defended by Michael Brockers)
12,1,9:34,2,10,DET 38,0,0,Kirk Cousins pass incomplete short left intended for Justin Jefferson
13,1,9:30,3,10,DET 38,0,0,Kirk Cousins pass incomplete short right intended for Irv Smith
14,1,9:25,4,10,DET 38,0,0,Greg Joseph 56 yard field goal no good
15,1,9:20,1,10,DET 46,0,0,Jared Goff pass complete short left to Jamaal Williams for 17 yards (tackle by Jordan Hicks and Camryn Bynum)
16,1,8:43,1,10,MIN 37,0,0,Craig Reynolds up the middle for 3 yards (tackle by Jordan Hicks and Harrison Phillips)
17,1,8:00,2,7,MIN 34,0,0,Jamaal Williams left guard for 2 yards (tackle by Jordan Hicks and Dalvin Tomlinson)
18,1,7:17,3,5,MIN 32,0,0,Jared Goff pass incomplete short right intended for Amon-Ra St. Brown
19,1,7:12,4,5,MIN 32,0,0,Jared Goff pass complete short middle to Amon-Ra St. Brown for 30 yards (tackle by Patrick Peterson)
20,1,6:49,1,2,MIN 2,6,0,"Jamaal Williams left guard for 2 yards, touchdown"
21,1,6:44,0,0,MIN 15,7,0,Austin Seibert kicks extra point good
22,1,6:44,0,0,DET 35,7,0,"Austin Seibert kicks off 62 yards, returned by Kene Nwangwu for 16 yards (tackle by Kerby Joseph and Chris Board)"
23,1,6:40,1,10,MIN 19,7,0,Dalvin Cook up the middle for 9 yards (tackle by Tracy Walker and DeShon Elliott)
24,1,6:11,2,1,MIN 28,7,0,Dalvin Cook right guard for 2 yards (tackle by Alex Anzalone)
25,1,5:43,1,10,MIN 30,7,0,Dalvin Cook right guard for no gain (tackle by Charles Harris)
26,1,5:05,2,10,MIN 30,7,0,Kirk Cousins pass complete short middle to Justin Jefferson for 5 yards (tackle by Juju Hughes)
27,1,4:33,3,5,MIN 35,7,0,Kirk Cousins pass incomplete short right
28,1,4:18,4,5,MIN 35,7,0,"Ryan Wright punts 47 yards, returned by Kalif Raymond for 12 yards (tackle by Ben Ellefson)"
29,1,4:06,1,10,DET 30,7,0,Jamaal Williams left tackle for 4 yards (tackle by Jordan Hicks and Eric Kendricks)
30,1,3:34,2,6,DET 34,7,0,Jamaal Williams left tackle for 12 yards (tackle by Josh Metellus)
31,1,2:56,1,10,DET 46,7,0,Jared Goff pass incomplete short left
32,1,2:51,2,10,DET 46,7,0,Jared Goff pass complete short left to Josh Reynolds for 6 yards (tackle by Cameron Dantzler)
33,1,2:10,3,4,MIN 48,7,0,"D'Andre Swift left end for 4 yards (tackle by Eric Kendricks) MIN challenged the first down ruling, and the original play was overturned. D'Andre Swift left end for 3 yards (tackle by Eric Kendricks)"
34,1,1:52,4,1,MIN 45,7,0,Jamaal Williams right guard for 5 yards (tackle by Camryn Bynum)
35,1,1:19,1,10,MIN 40,7,0,Jared Goff pass incomplete short right
36,1,1:14,2,10,MIN 40,7,0,Craig Reynolds left guard for 5 yards (tackle by Harrison Phillips)
37,1,0:35,3,5,MIN 35,7,0,Jared Goff pass complete short right to Kalif Raymond for 4 yards (tackle by Jordan Hicks)
