,quarter,time,down,togo,location,away_team,home_team,detail
35,2,13:40,1,10,LAR 25,3,7,Cam Akers up the middle for 3 yards (tackle by Drue Tranquill)
36,2,12:56,2,7,LAR 28,3,7,Baker Mayfield pass complete deep right to Van Jefferson for 39 yards (tackle by Alohi Gilman)
37,2,12:06,1,10,LAC 33,3,7,Cam Akers left guard for 6 yards (tackle by Drue Tranquill and Asante Samuel)
38,2,11:21,2,4,LAC 27,3,7,Cam Akers left tackle for -2 yards (tackle by Drue Tranquill)
39,2,10:32,3,6,LAC 29,3,7,"Baker Mayfield pass incomplete short right. Penalty on Baker Mayfield: Intentional Grounding, 12 yards (accepted) "
40,2,10:32,4,18,LAC 41,3,7,Riley Dixon punts 31 yards downed by Christian Rozeboom
41,2,10:20,1,10,LAC 10,3,7,Joshua Kelley left guard for 3 yards (tackle by Ernest Jones)
42,2,10:01,2,7,LAC 13,3,7,Justin Herbert pass incomplete short right intended for Joshua Kelley
43,2,9:58,3,7,LAC 13,3,7,Justin Herbert pass complete short right to Keenan Allen for 10 yards (tackle by Bobby Wagner)
44,2,9:15,1,10,LAC 23,3,7,Justin Herbert pass complete short left to Mike Williams for 5 yards (tackle by Nick Scott)
45,2,8:37,2,5,LAC 28,3,13,"Austin Ekeler right guard for 72 yards, touchdown"
46,2,8:25,0,0,LAR 15,3,14,Cameron Dicker kicks extra point good
47,2,8:25,0,0,LAC 35,3,14,"Cameron Dicker kicks off 65 yards, touchback."
48,2,8:25,1,10,LAR 25,3,14,Baker Mayfield pass complete deep left to Van Jefferson for 16 yards (tackle by Asante Samuel)
49,2,7:40,1,10,LAR 41,3,14,"Penalty on Ty Nsekhe: False Start, 5 yards (accepted) (no play)"
50,2,7:15,1,15,LAR 36,3,14,Cam Akers left tackle for 9 yards (tackle by Michael Davis and Drue Tranquill)
51,2,6:30,2,7,LAR 44,3,14,Cam Akers left guard for 3 yards (tackle by Kyle Van Noy and Morgan Fox)
52,2,5:46,3,3,LAR 48,3,14,Baker Mayfield pass complete deep right to Van Jefferson for 22 yards (tackle by Nasir Adderley)
53,2,5:01,1,10,LAC 30,3,14,Cam Akers left tackle for 7 yards (tackle by Ja'Sir Taylor and Nasir Adderley)
54,2,4:17,2,3,LAC 23,3,14,Baker Mayfield pass incomplete short left intended for Brandon Powell (defended by Nasir Adderley)
55,2,4:14,3,3,LAC 23,9,14,"Malcolm Brown up the middle for 23 yards, touchdown"
56,2,4:09,0,0,LAC 15,10,14,Matt Gay kicks extra point good
57,2,4:09,0,0,LAR 35,10,14,"Matt Gay kicks off 65 yards, touchback."
58,2,4:09,1,10,LAC 25,10,14,Joshua Kelley right end for 7 yards (tackle by Ernest Jones)
59,2,3:33,2,3,LAC 32,10,14,"Justin Herbert pass complete short right to Gerald Everett for 7 yards (tackle by Taylor Rapp). Penalty on Keir Thomas: Defensive Holding, 5 yards (declined) "
60,2,3:12,1,10,LAC 39,10,14,Joshua Kelley left tackle for 1 yard (tackle by Nick Scott and Leonard Floyd)
61,2,2:37,2,9,LAC 40,10,14,Justin Herbert pass complete short right to Keenan Allen for 8 yards (tackle by Cobie Durant)
62,2,2:00,3,1,LAC 48,10,14,Austin Ekeler right guard for 2 yards (tackle by Ernest Jones)
63,2,1:30,1,10,LAC 50,10,14,Justin Herbert pass complete deep left to Mike Williams for 18 yards
64,2,1:25,1,10,LAR 32,10,14,Justin Herbert pass complete short left to Mike Williams for 8 yards (tackle by Taylor Rapp)
65,2,1:01,2,2,LAR 24,10,14,"Justin Herbert sacked by Jalen Ramsey for no gain. Justin Herbert fumbles (forced by Jalen Ramsey), recovered by Justin Herbert at LA-44 Replay Assistant challenged the fumble ruling, and the original play was overturned. Justin Herbert pass incomplete short left intended for Mike Williams (defended by Jalen Ramsey)"
66,2,0:58,3,2,LAR 24,10,14,Austin Ekeler left guard for 2 yards (tackle by Bobby Wagner and Ernest Jones)
67,2,0:31,1,10,LAR 22,10,14,Justin Herbert pass incomplete deep left intended for Mike Williams
68,2,0:27,2,10,LAR 22,10,14,Justin Herbert pass incomplete short right intended for Keenan Allen
69,2,0:23,3,10,LAR 22,10,14,Justin Herbert pass incomplete deep right intended for Josh Palmer
70,2,0:18,4,10,LAR 22,10,17,Cameron Dicker 40 yard field goal good
71,2,0:14,0,0,LAC 35,10,17,"Cameron Dicker kicks off 65 yards, touchback."
72,2,0:14,1,10,LAR 25,10,17,Baker Mayfield kneels for -1 yards
73,3,15:00,0,0,LAR 35,10,17,"Matt Gay kicks off 65 yards, touchback."
74,3,15:00,1,10,LAC 25,10,17,Justin Herbert pass complete short right to Austin Ekeler for 17 yards (tackle by Cobie Durant)
75,3,14:26,1,10,LAC 42,10,17,Austin Ekeler right guard for 3 yards (tackle by Ernest Jones and Earnest Brown)
76,3,13:45,2,8,LAC 45,10,17,Justin Herbert pass complete short right to Mike Williams for 14 yards (tackle by Troy Hill)
77,3,13:13,1,10,LAR 41,10,17,Joshua Kelley right tackle for 7 yards (tackle by Michael Hoecht and Taylor Rapp)
78,3,12:32,2,3,LAR 34,10,17,Austin Ekeler left end for 10 yards (tackle by Marquise Copeland)
79,3,11:52,1,10,LAR 24,10,17,Joshua Kelley left tackle for 5 yards (tackle by Ernest Jones)
80,3,11:14,2,5,LAR 19,10,17,Justin Herbert pass complete short left to Mike Williams for 4 yards (tackle by Jalen Ramsey)
81,3,10:39,3,1,LAR 15,10,17,Justin Herbert up the middle for 2 yards (tackle by Bobby Brown)
82,3,10:04,1,10,LAR 13,10,17,Joshua Kelley left guard for no gain (tackle by Michael Hoecht and Larrell Murchison)
83,3,9:31,2,10,LAR 13,10,17,Justin Herbert pass complete short left to Austin Ekeler for 7 yards (tackle by Taylor Rapp and Ernest Jones)
84,3,8:50,3,3,LAR 6,10,23,"Justin Herbert pass complete short middle to Gerald Everett for 6 yards, touchdown"
85,3,8:46,0,0,LAR 15,10,24,Cameron Dicker kicks extra point good
86,3,8:46,0,0,LAC 35,10,24,"Cameron Dicker kicks off 65 yards, touchback."
87,3,8:46,1,10,LAR 25,10,24,Cam Akers left guard for 13 yards (tackle by Asante Samuel)
88,3,8:06,1,10,LAR 38,10,24,Baker Mayfield pass complete deep left to Brycen Hopkins for 21 yards (tackle by Ja'Sir Taylor and Drue Tranquill)
89,3,7:16,1,10,LAC 41,10,24,Cam Akers right end for 2 yards (tackle by Sebastian Joseph-Day and Kenneth Murray)
90,3,6:33,2,8,LAC 39,10,24,Baker Mayfield pass complete short right to Tutu Atwell for 4 yards (tackle by Michael Davis)
91,3,6:14,3,4,LAC 35,10,24,"Baker Mayfield sacked by Kyle Van Noy for -4 yards. Baker Mayfield fumbles (forced by Kyle Van Noy), recovered by Kyle Van Noy at LAC-39"
92,3,6:09,1,10,LAC 39,10,24,Larry Rountree left guard for 4 yards (tackle by Michael Hoecht)
93,3,5:34,2,6,LAC 43,10,24,Larry Rountree right guard for -3 yards (tackle by Marquise Copeland)
94,3,5:14,3,9,LAC 40,10,24,Justin Herbert pass complete short right to Joshua Kelley for 1 yard (tackle by Troy Hill)
95,3,4:37,4,8,LAC 41,10,24,"JK Scott punts 36 yards, fair catch by Brandon Powell at LA-23"
96,3,4:29,1,10,LAR 23,10,24,Cam Akers right tackle for 6 yards (tackle by Joey Bosa)
97,3,3:47,2,4,LAR 29,10,24,Baker Mayfield pass complete short left to Cam Akers for 10 yards (tackle by Asante Samuel)
98,3,2:59,1,10,LAR 39,10,24,"Penalty on Tyler Higbee: False Start, 5 yards (accepted) (no play)"
99,3,2:34,1,15,LAR 34,10,24,Baker Mayfield scrambles right end for 3 yards (tackle by Drue Tranquill)
100,3,1:52,2,12,LAR 37,10,24,Cam Akers up the middle for -3 yards (tackle by Drue Tranquill)
101,3,1:29,3,16,LAR 34,10,24,Baker Mayfield pass incomplete deep right intended for Tutu Atwell
102,3,1:22,4,15,LAR 34,10,24,"Riley Dixon punts 47 yards, returned by DeAndre Carter for 11 yards (tackle by Nick Scott)"
103,3,1:13,1,10,LAC 30,10,24,Justin Herbert pass complete short right to Gerald Everett for 2 yards (tackle by Nick Scott)
104,3,0:53,2,8,LAC 32,10,24,Justin Herbert pass complete deep left to Keenan Allen for 28 yards (tackle by Cobie Durant)
105,3,0:18,1,10,LAR 40,10,24,Austin Ekeler right guard for 4 yards (tackle by Russ Yeast)
106,4,15:00,2,6,LAR 36,10,24,Justin Herbert pass complete short left to Austin Ekeler for 14 yards (tackle by Bobby Wagner)
107,4,14:17,1,10,LAR 22,10,24,Justin Herbert pass complete short right to Keenan Allen for 8 yards (tackle by Cobie Durant)
108,4,13:42,2,2,LAR 14,10,24,Joshua Kelley right guard for 8 yards (tackle by Taylor Rapp and Jalen Ramsey)
109,4,13:01,1,6,LAR 6,10,24,Austin Ekeler right guard for 3 yards (tackle by Michael Hoecht)
110,4,12:20,2,3,LAR 3,10,24,Justin Herbert pass incomplete short right intended for DeAndre Carter
111,4,12:16,3,3,LAR 3,10,30,"Justin Herbert pass complete short middle to Donald Parham for 3 yards, touchdown"
112,4,12:12,0,0,LAR 15,10,31,Cameron Dicker kicks extra point good
113,4,12:12,0,0,LAC 35,10,31,"Cameron Dicker kicks off 65 yards, touchback."
114,4,12:12,1,10,LAR 25,10,31,Cam Akers left guard for 7 yards (tackle by Khalil Mack)
115,4,11:31,2,3,LAR 32,10,31,Baker Mayfield pass incomplete short right intended for Tutu Atwell
116,4,11:26,3,3,LAR 32,10,31,Baker Mayfield pass incomplete deep right intended for Lance McCutcheon
117,4,11:21,4,3,LAR 32,10,31,"Riley Dixon punts 51 yards, returned by DeAndre Carter for 9 yards (tackle by Kyren Williams)"
118,4,11:12,1,10,LAC 26,10,31,Larry Rountree right end for 2 yards (tackle by Troy Hill)
119,4,10:31,2,8,LAC 28,10,31,Chase Daniel pass complete short left to DeAndre Carter for 6 yards (tackle by Jonah Williams)
120,4,9:56,3,2,LAC 34,10,31,Joshua Kelley left end for 2 yards (tackle by Leonard Floyd)
121,4,9:20,1,10,LAC 36,10,31,"Larry Rountree left tackle for no gain (tackle by Ernest Jones). Penalty on Tre' McKitty: Offensive Holding, 10 yards (accepted) (no play)"
122,4,8:50,1,20,LAC 26,10,31,Larry Rountree right end for 5 yards (tackle by Jalen Ramsey and Daniel Hardy)
123,4,8:07,2,15,LAC 31,10,31,Larry Rountree right guard for 5 yards (tackle by Greg Gaines)
124,4,7:24,3,10,LAC 36,10,31,Chase Daniel pass complete short left to DeAndre Carter for 8 yards (tackle by Bobby Wagner and Cobie Durant)
125,4,6:40,4,2,LAC 44,10,31,"JK Scott punts 44 yards, fair catch by Brandon Powell at LA-12"
126,4,6:33,1,10,LAR 12,10,31,Cam Akers right guard for 1 yard (tackle by Joey Bosa)
127,4,6:12,2,9,LAR 13,10,31,"Baker Mayfield pass incomplete short right intended for Tyler Higbee. Penalty on Ty Nsekhe: Offensive Holding, 10 yards (offset) . Penalty on Raheem Layne: Defensive Holding, 5 yards (offset) (no play)"
128,4,6:04,2,9,LAR 13,10,31,Baker Mayfield pass incomplete short right intended for Tutu Atwell (defended by Ja'Sir Taylor)
129,4,5:59,3,9,LAR 13,10,31,Baker Mayfield sacked by Sebastian Joseph-Day for -10 yards
130,4,5:18,4,19,LAR 3,10,31,"Riley Dixon punts 57 yards, returned by DeAndre Carter for 6 yards (tackle by Daniel Hardy and Christian Rozeboom)"
131,4,5:05,1,10,LAC 46,10,31,Larry Rountree left tackle for 3 yards (tackle by Michael Hoecht)
132,4,4:22,2,7,LAC 49,10,31,Larry Rountree left guard for -2 yards (tackle by Michael Hoecht and Ernest Jones)
133,4,3:43,3,9,LAC 47,10,31,Chase Daniel pass complete short right to Larry Rountree for 13 yards (tackle by Taylor Rapp)
134,4,2:55,1,10,LAR 40,10,31,Larry Rountree left guard for 1 yard (tackle by Larrell Murchison)
135,4,2:10,2,9,LAR 39,10,31,Larry Rountree right guard for no gain (tackle by Bobby Wagner)
136,4,2:00,3,9,LAR 39,10,31,Larry Rountree right end for no gain (tackle by Nick Scott)
137,4,1:12,4,9,LAR 39,10,31,"Penalty on LAC: Delay of Game, 5 yards (declined) "
138,4,1:12,4,9,LAR 39,10,31,JK Scott punts 33 yards downed by Deane Leonard
139,4,1:00,1,10,LAR 6,10,31,Kyren Williams right end for 3 yards (tackle by JT Woods and Ja'Sir Taylor)
140,4,0:26,2,7,LAR 9,10,31,Kyren Williams left guard for 3 yards (tackle by JT Woods)
